car_brand,car_name,year,car_age,km_driven,km_range,fuel,transmission,price_inr,price_range,city
Audi,Audi A3 cabriolet1.4 TFSI,2019,7,16000,Below 25K,Petrol,Automatic,4600000,above 20 Lakh,new-delhi
Audi,Audi A335 TDI Attraction,2015,11,41000,25K – 50K,Diesel,Automatic,1290000,10-20 Lakh,mumbai
Audi,Audi A335 TDI Attraction,2015,11,128000,Above 1L,Diesel,Automatic,990000,5-10 Lakh,chennai
Audi,Audi A335 TDI Premium,2015,11,50000,50K – 1L,Diesel,Automatic,1700000,10-20 Lakh,chennai
Audi,Audi A335 TDI Premium,2016,10,73000,50K – 1L,Diesel,Automatic,1100000,10-20 Lakh,jaipur
Audi,Audi A335 TDI Premium Plus,2017,9,70000,50K – 1L,Diesel,Automatic,1800000,10-20 Lakh,chennai
Audi,Audi A335 TDI Premium Plus,2019,7,40000,25K – 50K,Diesel,Automatic,1575000,10-20 Lakh,noida
Audi,Audi A335 TDI Premium Plus,2019,7,76000,50K – 1L,Diesel,Automatic,2150000,above 20 Lakh,mumbai
Audi,Audi A335 TDI Premium Plus,2020,6,25500,25K – 50K,Diesel,Automatic,1650000,10-20 Lakh,mumbai
Audi,Audi A335 TDI Technology,2018,8,33000,25K – 50K,Diesel,Automatic,1600000,10-20 Lakh,kolkata
Audi,Audi A335 TDI Technology,2019,7,25500,25K – 50K,Diesel,Automatic,1650000,10-20 Lakh,mumbai
Audi,Audi A335 TDI Technology,2019,7,37000,25K – 50K,Diesel,Automatic,1700000,10-20 Lakh,new-delhi
Audi,Audi A335 TDI Technology,2019,7,37000,25K – 50K,Diesel,Automatic,1700000,10-20 Lakh,noida
Audi,Audi A335 TDI Technology Navigation,2017,9,70000,50K – 1L,Diesel,Automatic,1200000,10-20 Lakh,noida
Audi,Audi A335 TFSI Premium,2018,8,10300,Below 25K,Petrol,Automatic,1600000,10-20 Lakh,kolkata
Audi,Audi A335 TFSI Premium,2018,8,23800,Below 25K,Petrol,Automatic,1750000,10-20 Lakh,new-delhi
Audi,Audi A335 TFSI Premium,2018,8,24000,Below 25K,Petrol,Automatic,1699000,10-20 Lakh,new-delhi
Audi,Audi A335 TFSI Premium,2018,8,40000,25K – 50K,Petrol,Automatic,1399000,10-20 Lakh,kolkata
Audi,Audi A335 TFSI Premium,2018,8,41000,25K – 50K,Petrol,Automatic,1450000,10-20 Lakh,kolkata
Audi,Audi A335 TFSI Premium,2019,7,21000,Below 25K,Petrol,Automatic,1860000,10-20 Lakh,delhi-ncr
Audi,Audi A335 TFSI Premium,2019,7,21000,Below 25K,Petrol,Automatic,1860000,10-20 Lakh,gurgaon
Audi,Audi A335 TFSI Premium,2019,7,21000,Below 25K,Petrol,Automatic,1860000,10-20 Lakh,new-delhi
Audi,Audi A335 TFSI Premium,2019,7,21000,Below 25K,Petrol,Automatic,1860000,10-20 Lakh,noida
Audi,Audi A335 TFSI Premium,2019,7,51000,50K – 1L,Petrol,Automatic,1695000,10-20 Lakh,noida
Audi,Audi A335 TFSI Premium Plus,2019,7,55419,50K – 1L,Petrol,Automatic,1900000,10-20 Lakh,gurgaon
Audi,Audi A335 TFSI Premium Plus,2019,7,55419,50K – 1L,Petrol,Automatic,1900000,10-20 Lakh,new-delhi
Audi,Audi A335 TFSI Premium Plus,2019,7,55419,50K – 1L,Petrol,Automatic,1900000,10-20 Lakh,noida
Audi,Audi A335 TFSI Premium Plus,2019,7,62000,50K – 1L,Petrol,Automatic,1575000,10-20 Lakh,mumbai
Audi,Audi A335 TFSI Technology,2018,8,23800,Below 25K,Petrol,Automatic,1750000,10-20 Lakh,new-delhi
Audi,Audi A335 TFSI Technology,2019,7,21000,Below 25K,Petrol,Automatic,1850000,10-20 Lakh,delhi-ncr
Audi,Audi A335 TFSI Technology,2019,7,21000,Below 25K,Petrol,Automatic,1850000,10-20 Lakh,noida
Audi,Audi A340 TFSI Premium Plus,2015,11,61000,50K – 1L,Petrol,Automatic,995000,5-10 Lakh,mumbai
Audi,Audi A4 Technology,2021,5,30000,25K – 50K,Petrol,Automatic,3500000,above 20 Lakh,Hyderabad
Audi,Audi A41.8 TFSI Multitronic,2014,12,62118,50K – 1L,Petrol,Automatic,925000,5-10 Lakh,gurgaon
Audi,Audi A42.0 TDI,2012,14,44000,25K – 50K,Diesel,Automatic,749000,5-10 Lakh,kolkata
Audi,Audi A42.0 TDI,2013,13,78956,50K – 1L,Diesel,Automatic,875000,5-10 Lakh,Hyderabad
Audi,Audi A42.0 TDI,2014,12,84878,50K – 1L,Diesel,Automatic,1350000,10-20 Lakh,bangalore
Audi,Audi A42.0 TDI Multitronic,2012,14,82000,50K – 1L,Diesel,Automatic,770000,5-10 Lakh,pune
Audi,Audi A42.0 TDI Multitronic,2012,14,90000,50K – 1L,Diesel,Automatic,900000,5-10 Lakh,bangalore
Audi,Audi A42.0 TDI Multitronic,2013,13,91000,50K – 1L,Diesel,Automatic,795000,5-10 Lakh,jaipur
Audi,Audi A42.0 TDI Premium Plus,2015,11,69804,50K – 1L,Diesel,Automatic,1539000,10-20 Lakh,jaipur
Audi,Audi A42.0 TFSI,2010,16,81790,50K – 1L,Petrol,Automatic,675000,5-10 Lakh,chennai
Audi,Audi A430 TFSI Premium Plus,2017,9,42000,25K – 50K,Petrol,Automatic,1975000,10-20 Lakh,gurgaon
Audi,Audi A430 TFSI Premium Plus,2017,9,42000,25K – 50K,Petrol,Automatic,1975000,10-20 Lakh,noida
Audi,Audi A430 TFSI Premium Plus,2017,9,55418,50K – 1L,Petrol,Automatic,1707000,10-20 Lakh,pune
Audi,Audi A430 TFSI Premium Plus,2017,9,89188,50K – 1L,Petrol,Automatic,1843000,10-20 Lakh,chennai
Audi,Audi A430 TFSI Technology,2017,9,65000,50K – 1L,Petrol,Automatic,1750000,10-20 Lakh,delhi-ncr
Audi,Audi A430 TFSI Technology,2017,9,85000,50K – 1L,Petrol,Automatic,1650000,10-20 Lakh,new-delhi
Audi,Audi A435 TDI Premium,2015,11,135863,Above 1L,Diesel,Automatic,1650000,10-20 Lakh,chennai
Audi,Audi A435 TDI Premium,2016,10,50000,50K – 1L,Diesel,Automatic,900000,5-10 Lakh,gurgaon
Audi,Audi A435 TDI Premium,2016,10,120000,Above 1L,Diesel,Automatic,1000000,10-20 Lakh,gurgaon
Audi,Audi A435 TDI Premium Plus,2015,11,65106,50K – 1L,Diesel,Automatic,1414000,10-20 Lakh,jaipur
Audi,Audi A435 TDI Premium Plus,2017,9,68700,50K – 1L,Diesel,Automatic,1950000,10-20 Lakh,pune
Audi,Audi A435 TDI Premium Sport,2014,12,68000,50K – 1L,Diesel,Automatic,1350000,10-20 Lakh,chennai
Audi,Audi A435 TDI Premium Sport,2015,11,80000,50K – 1L,Diesel,Automatic,700000,5-10 Lakh,gurgaon
Audi,Audi A435 TDI Technology,2017,9,65000,50K – 1L,Diesel,Automatic,1650000,10-20 Lakh,new-delhi
Audi,Audi A435 TDI Technology,2017,9,69000,50K – 1L,Diesel,Automatic,1390000,10-20 Lakh,new-delhi
Audi,Audi A435 TDI Technology,2018,8,46000,25K – 50K,Diesel,Automatic,1925000,10-20 Lakh,new-delhi
Audi,Audi A435 TDI Technology,2018,8,64100,50K – 1L,Diesel,Automatic,1499000,10-20 Lakh,kolkata
Audi,Audi A435 TDI Technology,2019,7,45000,25K – 50K,Diesel,Automatic,1795000,10-20 Lakh,chandigarh
Audi,Audi A435 TDI Technology,2019,7,45000,25K – 50K,Diesel,Automatic,1795000,10-20 Lakh,noida
Audi,Audi A435 TFSi Premium,2015,11,78000,50K – 1L,Petrol,Automatic,1090000,10-20 Lakh,chennai
Audi,Audi A4Premium,2025,1,3000,Below 25K,Petrol,Automatic,3750000,above 20 Lakh,noida
Audi,Audi A4Premium BSVI,2023,3,18000,Below 25K,Petrol,Automatic,3150000,above 20 Lakh,chennai
Audi,Audi A4Premium Plus,2021,5,65000,50K – 1L,Petrol,Automatic,2690000,above 20 Lakh,new-delhi
Audi,Audi A4Premium Plus,2025,1,3000,Below 25K,Petrol,Automatic,3700000,above 20 Lakh,noida
Audi,Audi A4Technology,2021,5,30000,25K – 50K,Petrol,Automatic,3500000,above 20 Lakh,Hyderabad
Audi,Audi A4Technology,2021,5,34000,25K – 50K,Petrol,Automatic,3000000,above 20 Lakh,chennai
Audi,Audi A4Technology,2024,2,34000,25K – 50K,Petrol,Automatic,2975000,above 20 Lakh,mumbai
Audi,Audi A4Technology,2025,1,10000,Below 25K,Petrol,Automatic,4000000,above 20 Lakh,gurgaon
Audi,Audi A4Technology BSVI,2023,3,48000,25K – 50K,Petrol,Automatic,3275000,above 20 Lakh,noida
Audi,Audi A5Sportback,2018,8,19862,Below 25K,Diesel,Automatic,3900000,above 20 Lakh,Hyderabad
