car_brand,car_name,year,km_driven,fuel,transmission,price,city
Hyundai,Hyundai i20Asta,2023,"9,800kms",Petrol,Manual,₹7.70 Lakh,ahmedabad
Hyundai,Hyundai i20Sportz Plus Dual Tone BSIV,2019,"22,371kms",Petrol,Manual,₹5.29 Lakh,ahmedabad
Nissan,Nissan MagniteTurbo XV BSVI,2021,"99,687kms",Petrol,Manual,₹4.50 Lakh,ahmedabad
Maruti,Maruti SwiftVXI,2019,"40,477kms",Petrol,Manual,₹4.47 Lakh,ahmedabad
Jeep,Jeep Compass2.0 Limited,2017,"1,80,000kms",Diesel,Manual,₹6.50 Lakh,ahmedabad
Maruti,Maruti SwiftVXI BSVI,2021,"46,000kms",Petrol,Manual,₹5.11 Lakh,ahmedabad
Renault,Renault TriberRXT,2023,"28,302kms",Petrol,Manual,₹4.49 Lakh,ahmedabad
Honda,Honda WR-Vi-VTEC S,2017,"63,000kms",Petrol,Manual,₹4.10 Lakh,ahmedabad
Hyundai,Hyundai XcentVTVT Plus ABS,2016,"1,20,000kms",Petrol,Manual,₹3.45 Lakh,ahmedabad
Renault,Renault KigerRXZ,2022,"80,000kms",Petrol,Manual,₹4.15 Lakh,ahmedabad
Honda,Honda WR-Vi-VTEC VX,2019,"45,867kms",Petrol,Manual,₹5.23 Lakh,ahmedabad
Kia,Kia CarnivalPrestige 6 STR,2020,"85,000kms",Diesel,Automatic,₹19.50 Lakh,ahmedabad
Hyundai,Hyundai i10Magna,2013,"78,500kms",Petrol,Manual,₹2 Lakh,ahmedabad
Maruti,Maruti SwiftLXI Optional-O,2016,"1,17,732kms",Petrol,Manual,₹3.21 Lakh,ahmedabad
Maruti,Maruti Wagon RCNG LXI BSIV,2019,"1,29,340kms",CNG,Manual,₹3.08 Lakh,ahmedabad
Maruti,Maruti SwiftVXI,2013,"56,225kms",Petrol,Manual,₹3.45 Lakh,ahmedabad
Mercedes-Benz,Mercedes-Benz A-Class LimousineA 200 BSVI,2023,"20,000kms",Petrol,Automatic,₹35.90 Lakh,ahmedabad
