car_brand,car_name,year,km_driven,fuel,transmission,price,city
Mercedes-Benz,Mercedes-Benz GLE300d BSVI,2022,"27,976kms",Diesel,Automatic,₹67.75 Lakh,bangalore
Renault,Renault KWIDRXL,2021,"29,042kms",Petrol,Manual,₹3.70 Lakh,bangalore
Maruti,Maruti IgnisSigma BSVI,2022,"46,564kms",Petrol,Manual,₹4.52 Lakh,bangalore
Hyundai,Hyundai Verna1.6 VTVT AT SX,2016,"95,846kms",Petrol,Automatic,₹5.93 Lakh,bangalore
Kia,Kia SeltosGTX Plus Diesel AT,2023,"24,860kms",Diesel,Automatic,₹19.49 Lakh,bangalore
Kia,Kia SonetGravity,2024,"30,000kms",Petrol,Manual,₹10.50 Lakh,bangalore
Kia,Kia SeltosGTX Plus DCT,2020,"48,547kms",Petrol,Automatic,₹11.43 Lakh,bangalore
Maruti,Maruti Grand VitaraAlpha AT BSVI,2022,"52,705kms",Petrol,Automatic,₹13.40 Lakh,bangalore
Skoda,Skoda SuperbLaurin & klement BSVI,2021,"54,626kms",Petrol,Automatic,₹29.75 Lakh,bangalore
Jeep,Jeep MeridianLimited Opt AT BSVI,2022,"54,158kms",Diesel,Automatic,₹25.95 Lakh,bangalore
Toyota,Toyota VellfireExecutive Lounge BSVI,2020,"33,000kms",Petrol,Automatic,₹85 Lakh,bangalore
Kia,Kia SonetGTX Plus Turbo DCT DT,2020,"47,961kms",Petrol,Automatic,₹10.49 Lakh,bangalore
Lexus,Lexus ES300h Luxury,2024,"4,500kms",Petrol,Automatic,₹59.75 Lakh,bangalore
Kia,Kia SeltosHTX IVT G,2022,"14,427kms",Petrol,Automatic,₹13.45 Lakh,bangalore
Volkswagen,Volkswagen Taigun1.0 Highline AT,2023,"17,119kms",Petrol,Automatic,₹13.85 Lakh,bangalore
MG,MG Hector PlusSharp CVT,2022,"25,279kms",Petrol,Automatic,₹16.59 Lakh,bangalore
Mahindra,Mahindra XUV700AX7 AT BSVI,2022,"22,000kms",Petrol,Automatic,₹22 Lakh,bangalore
Volvo,Volvo S60D4 KINETIC,2017,"90,389kms",Diesel,Automatic,₹15.95 Lakh,bangalore
Maruti,Maruti Grand VitaraAlpha BSVI,2023,"45,000kms",Petrol,Manual,₹15.50 Lakh,bangalore
Kia,Kia SeltosHTX Plus Diesel,2021,"27,000kms",Diesel,Manual,₹15.50 Lakh,bangalore
Lexus,Lexus ES300h Luxury,2024,"4,500kms",Petrol,Automatic,₹59.75 Lakh,bangalore
Kia,Kia SeltosGTX Plus Diesel AT,2023,"45,000kms",Diesel,Automatic,₹16.99 Lakh,bangalore
Volkswagen,Volkswagen Taigun1.0 Topline AT,2022,"53,908kms",Petrol,Automatic,₹13.03 Lakh,bangalore
Volkswagen,Volkswagen Taigun1.0 Topline AT,2022,"43,451kms",Petrol,Automatic,₹12.54 Lakh,bangalore
Mahindra,Mahindra XUV700AX7 AT BSVI,2022,"22,000kms",Petrol,Automatic,₹22 Lakh,bangalore
