car_brand,car_name,year,km_driven,fuel,transmission,price,city
Tata,Tata Tiago EVXZ Plus LR,2024,"25,942kms",Electric,Automatic,₹8.50 Lakh,chandigarh
Hyundai,Hyundai i20Sportz 1.2,2017,"27,368kms",Petrol,Manual,₹5.10 Lakh,chandigarh
Honda,Honda AmazeVX CVT Petrol,2022,"35,944kms",Petrol,Automatic,₹6.92 Lakh,chandigarh
Maruti,Maruti BalenoAlpha AMT,2022,"67,281kms",Petrol,Automatic,₹6.45 Lakh,chandigarh
MG,MG GlosterSavvy 4x4 6Str,2023,"65,000kms",Diesel,Automatic,₹35 Lakh,chandigarh
Hyundai,Hyundai VenueSX BSVI,2022,"38,015kms",Petrol,Manual,₹7.14 Lakh,chandigarh
Maruti,Maruti XL6Alpha AT,2021,"55,809kms",Petrol,Automatic,₹9.46 Lakh,chandigarh
Skoda,Skoda Slavia1.5 TSI Style DSG,2022,"45,603kms",Petrol,Automatic,₹13.28 Lakh,chandigarh
Audi,Audi Q745 TDI Quattro Technology,2019,"70,000kms",Diesel,Automatic,₹42 Lakh,chandigarh
Volkswagen,Volkswagen VirtusHighline AT,2022,"55,357kms",Petrol,Automatic,₹10.09 Lakh,chandigarh
Hyundai,Hyundai VernaSX,2022,"25,620kms",Petrol,Manual,₹11.80 Lakh,chandigarh
Hyundai,Hyundai Grand i10 NiosMagna,2023,"20,381kms",Petrol,Manual,₹5.33 Lakh,chandigarh
Mitsubishi,Mitsubishi Outlander2.4,2009,"1,52,000kms",Petrol,Automatic,₹2.75 Lakh,chandigarh
Honda,Honda WR-Vi-VTEC VX,2018,"71,438kms",Petrol,Manual,₹5.19 Lakh,chandigarh
Tata,Tata NexonXM S Diesel,2021,"35,382kms",Diesel,Manual,₹6.42 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2023,"52,734kms",Petrol,Automatic,₹12.36 Lakh,chandigarh
Nissan,Nissan KicksXV Premium Option D Dual Tone,2019,"1,35,000kms",Diesel,Manual,₹6.90 Lakh,chandigarh
Hyundai,Hyundai Verna1.6 SX VTVT AT,2018,"85,681kms",Petrol,Automatic,₹7.68 Lakh,chandigarh
Maruti,Maruti Grand VitaraAlpha AT,2022,"49,765kms",Petrol,Automatic,₹12.44 Lakh,chandigarh
Hyundai,Hyundai CretaSX (O) Diesel AT,2022,"51,334kms",Diesel,Automatic,₹13.94 Lakh,chandigarh
BMW,BMW XMxDrive,2024,"26,000kms",Petrol,Automatic,₹1.52 Crore,chandigarh
Maruti,Maruti BalenoZeta Diesel,2021,"80,071kms",Diesel,Manual,₹5.40 Lakh,chandigarh
Maruti,Maruti BalenoZeta Diesel,2020,"40,616kms",Diesel,Manual,₹5.51 Lakh,chandigarh
Honda,Honda JazzVX,2017,"52,844kms",Petrol,Manual,₹4.12 Lakh,chandigarh
Audi,Audi Q7Technology  -,2022,"18,000kms",Petrol,Automatic,₹64 Lakh,chandigarh
Maruti,Maruti Alto 800LXi,2021,"24,828kms",Petrol,Manual,₹3.21 Lakh,chandigarh
Volkswagen,Volkswagen Taigun1.0 TSI Topline AT BSVI,2021,"44,373kms",Petrol,Automatic,₹11.32 Lakh,chandigarh
Volkswagen,Volkswagen VirtusHighline AT,2023,"24,873kms",Petrol,Automatic,₹12.53 Lakh,chandigarh
BMW,BMW X5xDrive 40i M Sport,2022,"30,000kms",Petrol,Automatic,₹69 Lakh,chandigarh
Hyundai,Hyundai VenueSX BSVI,2023,"37,204kms",Petrol,Manual,₹8.42 Lakh,chandigarh
MG,MG GlosterSharp 7-Str,2020,"1,87,000kms",Diesel,Automatic,₹20.90 Lakh,chandigarh
Hyundai,Hyundai Grand i101.2 Kappa Magna BSIV,2017,"41,291kms",Petrol,Manual,₹3.75 Lakh,chandigarh
Toyota,Toyota VellfireHi,2025,"5,900kms",Petrol,Automatic,₹1.19 Crore,chandigarh
Honda,Honda BrioS MT,2017,"34,787kms",Petrol,Manual,₹3.24 Lakh,chandigarh
Hyundai,Hyundai EONMagna,2015,"60,336kms",Petrol,Manual,₹2.39 Lakh,chandigarh
Maruti,Maruti Alto 800VXI,2021,"50,671kms",Petrol,Manual,₹3.08 Lakh,chandigarh
BMW,BMW X1sDrive18i M Sport,2025,"2,000kms",Petrol,Automatic,₹47.50 Lakh,chandigarh
Renault,Renault TriberRXT,2022,"49,873kms",Petrol,Manual,₹4.76 Lakh,chandigarh
Hyundai,Hyundai Grand i101.2 Kappa Sportz Option,2017,"1,15,632kms",Petrol,Manual,₹3.62 Lakh,chandigarh
Datsun,Datsun RediGOT Option,2018,"52,812kms",Petrol,Manual,₹2.24 Lakh,chandigarh
BMW,BMW 5 Series530Li,2024,"27,000kms",Petrol,Automatic,₹64 Lakh,chandigarh
Tata,Tata NexonXZA Plus (O) AMT Diesel,2022,"23,289kms",Diesel,Automatic,₹8.16 Lakh,chandigarh
Volkswagen,Volkswagen Polo1.0 MPI Trendline,2020,"1,05,659kms",Petrol,Manual,₹4.27 Lakh,chandigarh
Maruti,Maruti Alto K10VXI Plus,2023,"23,294kms",Petrol,Manual,₹4.20 Lakh,chandigarh
Mercedes-Benz,Mercedes-Benz GLC220d,2025,"20,000kms",Diesel,Automatic,₹64 Lakh,chandigarh
Honda,Honda CitySV MT,2015,"1,03,874kms",Petrol,Manual,₹4.41 Lakh,chandigarh
Maruti,Maruti Alto 800LXi,2018,"54,205kms",Petrol,Manual,₹3.08 Lakh,chandigarh
Ford,Ford Ecosport1.0 Ecoboost Titanium,2014,"73,653kms",Petrol,Manual,₹3.89 Lakh,chandigarh
Ford,Ford MustangV8,2017,"24,000kms",Petrol,Automatic,₹76.75 Lakh,chandigarh
Honda,Honda Jazz1.2 V AT i VTEC,2017,"52,734kms",Petrol,Automatic,₹4.32 Lakh,chandigarh
Renault,Renault KWIDRXT,2017,"55,000kms",Petrol,Manual,₹2.35 Lakh,chandigarh
Maruti,Maruti Alto 800LXi,2013,"51,180kms",Petrol,Manual,₹2.10 Lakh,chandigarh
BMW,BMW X1sDrive20i xLine,2022,"28,000kms",Petrol,Automatic,₹29.75 Lakh,chandigarh
Maruti,Maruti Ciaz1.4 AT Alpha,2021,"56,429kms",Petrol,Automatic,₹8.01 Lakh,chandigarh
Renault,Renault Duster85PS Diesel RxL,2012,"68,121kms",Diesel,Manual,₹2.35 Lakh,chandigarh
Hyundai,Hyundai VenueS Plus 2024-2025,2021,"41,103kms",Petrol,Manual,₹6.33 Lakh,chandigarh
BMW,BMW i7xDrive60 M Sport,2024,"8,066kms",Electric,Automatic,₹1.36 Crore,chandigarh
Maruti,Maruti Alto K10VXI,2015,"78,000kms",Petrol,Manual,₹2.68 Lakh,chandigarh
Ford,Ford Ecosport1.5 TDCi Ambiente BSIV,2015,"72,026kms",Diesel,Manual,₹3.30 Lakh,chandigarh
Tata,Tata NexonXZ Plus (O) Diesel,2022,"31,584kms",Diesel,Manual,₹8.59 Lakh,chandigarh
BMW,BMW 7 Series740Li M Sport,2022,"16,000kms",Petrol,Automatic,₹77 Lakh,chandigarh
Maruti,Maruti Alto K10VXI,2015,"28,704kms",Petrol,Manual,₹2.79 Lakh,chandigarh
Maruti,Maruti SwiftVDI BSIV,2016,"89,000kms",Diesel,Manual,₹4.85 Lakh,chandigarh
Hyundai,Hyundai AlcazarPlatinum 6Str Diesel AT,2021,"1,02,513kms",Diesel,Automatic,₹12.94 Lakh,chandigarh
BMW,BMW 3 Series Long Wheelbase330Li M Sport First Edition,2022,"48,000kms",Petrol,Automatic,₹38.75 Lakh,chandigarh
Tata,Tata NexonXZA Plus (O) AMT Diesel,2020,"98,255kms",Diesel,Automatic,₹7.39 Lakh,chandigarh
Hyundai,Hyundai Grand i10 NiosSportz CNG,2022,"46,156kms",CNG,Manual,₹5.36 Lakh,chandigarh
MG,MG Hector1.5 Turbo Sharp pro BSVI,2023,"37,794kms",Petrol,Manual,₹16.42 Lakh,chandigarh
Audi,Audi Q740 TFSI Quattro Technology,2019,"59,000kms",Petrol,Automatic,₹35.75 Lakh,chandigarh
Maruti,Maruti Vitara BrezzaVDi Option,2018,"47,835kms",Diesel,Manual,₹6.02 Lakh,chandigarh
Kia,Kia SonetHTX Turbo iMT,2023,"16,882kms",Petrol,Manual,₹8.79 Lakh,chandigarh
Hyundai,Hyundai Creta1.6 SX,2020,"66,194kms",Petrol,Manual,₹9.56 Lakh,chandigarh
Mercedes-Benz,2021Mercedes-Benz AMG G 634MATIC  -2023,2018,"45,000kms",Petrol,Automatic,₹2.58 Crore,chandigarh
Kia,Kia SeltosHTX,2020,"53,838kms",Petrol,Manual,₹7.21 Lakh,chandigarh
Toyota,Toyota GlanzaV AMT BSVI,2023,"28,020kms",Petrol,Automatic,₹7.51 Lakh,chandigarh
Hyundai,Hyundai VenueSX BSVI,2023,"36,833kms",Petrol,Manual,₹7.99 Lakh,chandigarh
Land Rover,Land Rover Range Rover VelarDynamic HSE,2024,"13,000kms",Petrol,Automatic,₹75.75 Lakh,chandigarh
Mahindra,Mahindra XUV500W9 AT,2017,"77,978kms",Diesel,Automatic,₹8.14 Lakh,chandigarh
Maruti,Maruti BrezzaVxi CNG,2023,"51,000kms",CNG,Manual,₹9.65 Lakh,chandigarh
Hyundai,Hyundai Verna1.6 CRDi SX,2017,"90,000kms",Diesel,Manual,₹6.90 Lakh,chandigarh
Land Rover,Land Rover Range Rover VelarDynamic HSE,2024,"13,000kms",Petrol,Automatic,₹75.75 Lakh,chandigarh
Hyundai,Hyundai VernaSX Opt Turbo,2021,"25,969kms",Petrol,Automatic,₹11.14 Lakh,chandigarh
Skoda,Skoda Slavia1.0 TSI Ambition,2023,"27,140kms",Petrol,Manual,₹10.97 Lakh,chandigarh
Skoda,Skoda Kushaq1.5 TSI Ambition,2022,"26,885kms",Petrol,Manual,₹10.25 Lakh,chandigarh
Skoda,Skoda Kushaq1.5 TSI Ambition,2023,"21,909kms",Petrol,Manual,₹10.09 Lakh,chandigarh
Kia,Kia SeltosHTX Diesel AT,2024,"26,897kms",Diesel,Automatic,₹10.93 Lakh,chandigarh
Kia,Kia SeltosGTX Plus,2019,"70,330kms",Petrol,Manual,₹10.07 Lakh,chandigarh
Hyundai,Hyundai VernaSX Turbo,2023,"35,000kms",Petrol,Manual,₹13 Lakh,chandigarh
Hyundai,Hyundai EONSportz,2015,"25,621kms",Petrol,Manual,₹2.43 Lakh,chandigarh
