car_brand,car_name,year,km_driven,fuel,transmission,price,city
Kia,Kia CarensLuxury Plus Diesel AT BSVI,2022,"31,000kms",Diesel,Automatic,₹15.50 Lakh,chennai
Renault,Renault KigerRXT AMT Opt DT,2022,"29,013kms",Petrol,Automatic,₹6.21 Lakh,chennai
Kia,Kia SeltosHTK Plus Diesel iMT,2023,"47,665kms",Diesel,Automatic,₹10.03 Lakh,chennai
Mercedes-Benz,Mercedes-Benz S-ClassS 350 d,2014,"74,000kms",Diesel,Automatic,₹36 Lakh,chennai
Honda,Honda ElevateV Non RF,2023,"40,617kms",Petrol,Manual,₹10.25 Lakh,chennai
Honda,Honda CityV MT,2022,"22,000kms",Petrol,Manual,₹10.50 Lakh,chennai
Hyundai,Hyundai VenueS Plus,2021,"32,000kms",Petrol,Manual,₹6.90 Lakh,chennai
Hyundai,Hyundai VenueSX Opt Turbo,2021,"29,000kms",Petrol,Manual,₹8 Lakh,chennai
Land Rover,Land Rover Discovery SportTD4 HSE Luxury,2019,"92,000kms",Diesel,Automatic,₹33 Lakh,chennai
Volvo,Volvo S90D4 Inscription BSIV,2017,"39,000kms",Diesel,Automatic,₹30 Lakh,chennai
Volvo,Volvo S90D4 Inscription BSIV,2017,"26,000kms",Diesel,Automatic,₹29.50 Lakh,chennai
Maruti,Maruti Grand VitaraAlpha Plus Hybrid CVT BSVI,2023,"6,052kms",Petrol,Automatic,₹15.89 Lakh,chennai
Hyundai,Hyundai AlcazarSignature (O) 7-Seater AT,2022,"50,000kms",Petrol,Automatic,₹16.50 Lakh,chennai
Mercedes-Benz,Mercedes-Benz S-ClassS 350 CDIL,2012,"55,000kms",Diesel,Automatic,₹18 Lakh,chennai
Maruti,Maruti Grand VitaraAlpha AT BSVI,2023,"43,500kms",Petrol,Automatic,₹15.90 Lakh,chennai
Maruti,Maruti XL6Alpha Plus AT,2022,"39,392kms",Petrol,Automatic,₹12.22 Lakh,chennai
BMW,BMW 5 Series525d Luxury Line,2014,"1,24,000kms",Diesel,Automatic,₹11.50 Lakh,chennai
Honda,Honda CityZX MT,2021,"59,929kms",Petrol,Manual,₹11.39 Lakh,chennai
MG,MG Hector1.5 Turbo Smart,2021,"22,365kms",Petrol,Manual,₹14.46 Lakh,chennai
Honda,Honda CityVX MT,2022,"25,634kms",Petrol,Manual,₹11.23 Lakh,chennai
BMW,BMW 5 Series530d M Sport,2017,"81,000kms",Diesel,Automatic,₹35 Lakh,chennai
Honda,Honda CityVX MT,2022,"25,634kms",Petrol,Manual,₹11.23 Lakh,chennai
Kia,Kia SeltosGTX Plus S Turbo DCT,2020,"97,748kms",Petrol,Automatic,₹11.25 Lakh,chennai
MG,MG HectorSharp Diesel MT,2021,"49,000kms",Diesel,Manual,₹13.50 Lakh,chennai
BMW,BMW 5 Series525d Luxury Line,2014,"1,24,000kms",Diesel,Automatic,₹11.50 Lakh,chennai
Volkswagen,Volkswagen Taigun1.0 TSI Topline AT BSVI,2022,"71,000kms",Petrol,Automatic,₹12.88 Lakh,chennai
Jeep,Jeep Compass1.4 Limited Option,2018,"90,000kms",Petrol,Automatic,₹12.50 Lakh,chennai
Jeep,Jeep Compass1.4 Limited Option,2018,"90,000kms",Petrol,Automatic,₹12.50 Lakh,chennai
MG,MG Windsor EVEssence,2025,"20,000kms",Electric,Automatic,₹14.78 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-Class220 CDI,2012,"60,000kms",Diesel,Automatic,₹12 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI,2013,"1,14,000kms",Diesel,Automatic,₹14.50 Lakh,chennai
Kia,Kia SeltosHTX G,2020,"89,000kms",Petrol,Manual,₹11.50 Lakh,chennai
Kia,Kia SeltosHTX Plus Diesel,2022,"40,000kms",Diesel,Manual,₹13 Lakh,chennai
MG,MG Hector PlusSharp CVT,2022,"39,000kms",Petrol,Automatic,₹14.50 Lakh,chennai
MG,MG AstorSharp CVT BSVI,2023,"12,398kms",Petrol,Automatic,₹12.90 Lakh,chennai
Skoda,Skoda Kushaq1.5 TSI Style DSG,2022,"32,000kms",Petrol,Automatic,₹11.95 Lakh,chennai
Maruti,Maruti XL6Zeta AT,2023,"70,000kms",Petrol,Automatic,₹13 Lakh,chennai
Mercedes-Benz,Mercedes-Benz E-Class220 CDI,2012,"1,25,000kms",Diesel,Automatic,₹10.50 Lakh,chennai
BMW,BMW 5 Series520d Sedan,2012,"84,000kms",Diesel,Automatic,₹12.50 Lakh,chennai
Kia,Kia CarensLuxury Plus Diesel AT 6 STR BSVI,2022,"18,000kms",Diesel,Automatic,₹16.90 Lakh,chennai
Maruti,Maruti XL6Zeta AT,2023,"70,000kms",Petrol,Automatic,₹13 Lakh,chennai
Kia,Kia SeltosHTX,2022,"15,029kms",Petrol,Manual,₹13.02 Lakh,chennai
Kia,Kia CarensLuxury Plus Diesel AT 6 STR BSVI,2022,"33,074kms",Diesel,Automatic,₹11.82 Lakh,chennai
BMW,BMW X5xDrive 30d,2013,"1,05,000kms",Diesel,Automatic,₹12.50 Lakh,chennai
BMW,BMW X1sDrive20i xLine,2022,"20,000kms",Petrol,Automatic,₹28.75 Lakh,chennai
