car_brand,car_name,year,km_driven,fuel,transmission,price,city
BMW,BMW 3 Series Long Wheelbase330Li M Sport First Edition,2021,"9,690kms",Petrol,Automatic,₹38 Lakh,delhi-ncr
Mahindra,Mahindra XUV500AT W10 FWD,2017,"1,20,000kms",Diesel,Automatic,₹4.10 Lakh,delhi-ncr
BMW,BMW 2 Series Gran Coupe220i M Sport,2025,"3,000kms",Petrol,Automatic,₹39.50 Lakh,delhi-ncr
Renault,Renault TriberRXT BSVI,2021,"22,000kms",Petrol,Manual,₹3.50 Lakh,delhi-ncr
Maruti,Maruti CelerioZXI BSVI,2022,"24,000kms",Petrol,Manual,₹4.25 Lakh,delhi-ncr
Renault,Renault DusterRXZ AWD,2016,"70,000kms",Diesel,Manual,₹3.40 Lakh,delhi-ncr
BMW,BMW 2 Series Gran Coupe218 M Sport Pro,2025,"3,000kms",Petrol,Automatic,₹38.90 Lakh,delhi-ncr
Land Rover,Land Rover DiscoveryHSE 2.0 SD4,2018,"32,000kms",Petrol,Automatic,₹26.50 Lakh,delhi-ncr
Mahindra,Mahindra TharLX Hard Top AT RWD,2024,"10,000kms",Petrol,Automatic,₹13.35 Lakh,delhi-ncr
MG,MG GlosterSuper 7-Str,2022,"60,000kms",Diesel,Automatic,₹20 Lakh,delhi-ncr
Hyundai,Hyundai VenueS,2022,"42,919kms",Petrol,Manual,₹5.88 Lakh,delhi-ncr
Maruti,Maruti Baleno1.2 Alpha,2018,"54,952kms",Petrol,Manual,₹4.42 Lakh,delhi-ncr
Maruti,Maruti Baleno1.2 Sigma,2017,"54,849kms",Petrol,Manual,₹3.46 Lakh,delhi-ncr
Hyundai,Hyundai CretaE,2024,"8,000kms",Petrol,Manual,₹11.50 Lakh,delhi-ncr
Honda,Honda WR-Vi-VTEC VX,2018,"50,054kms",Petrol,Manual,₹4.65 Lakh,delhi-ncr
Maruti,Maruti SwiftVXI AMT BSVI,2022,"39,745kms",Petrol,Automatic,₹5.53 Lakh,delhi-ncr
Maruti,Maruti BalenoZeta Diesel,2021,"4,702kms",Diesel,Manual,₹6.27 Lakh,delhi-ncr
Kia,Kia SeltosHTX,2024,"6,000kms",Petrol,Manual,₹15.75 Lakh,delhi-ncr
Jeep,Jeep Compass1.4 Limited Opt DCT BSVI,2022,"47,295kms",Petrol,Automatic,₹16.42 Lakh,delhi-ncr
Tata,Tata Tiago1.2 Revotron XZA,2017,"66,559kms",Petrol,Automatic,₹3.16 Lakh,delhi-ncr
MG,MG GlosterSavvy 6-Str,2021,"80,000kms",Diesel,Automatic,₹24.50 Lakh,delhi-ncr
Renault,Renault KigerRXZ,2021,"62,445kms",Petrol,Manual,₹5.26 Lakh,delhi-ncr
Maruti,Maruti Wagon RVXI 1.2,2017,"23,270kms",Petrol,Manual,₹3.64 Lakh,delhi-ncr
Maruti,Maruti CelerioZXI,2015,"1,00,298kms",Petrol,Manual,₹3.05 Lakh,delhi-ncr
Porsche,Porsche 911Turbo S  -2025,2023,"4,500kms",Petrol,Automatic,₹2.31 Crore,delhi-ncr
Hyundai,Hyundai Grand i101.2 Kappa Magna BSIV,2013,"43,400kms",Petrol,Manual,₹2.82 Lakh,delhi-ncr
Mahindra,Mahindra KUV 100 NXTG80 K8 6Str,2016,"52,025kms",Petrol,Manual,₹3.11 Lakh,delhi-ncr
Maruti,Maruti Alto K10VXI,2018,"27,148kms",Petrol,Manual,₹3.08 Lakh,delhi-ncr
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2020,"60,000kms",Petrol,Automatic,₹23.50 Lakh,delhi-ncr
Maruti,Maruti SwiftVXI,2013,"84,364kms",Petrol,Manual,₹2.55 Lakh,delhi-ncr
Kia,Kia SeltosHTK G,2021,"66,115kms",Petrol,Manual,₹7.32 Lakh,delhi-ncr
Tata,Tata AltrozXZ,2023,"24,290kms",Petrol,Manual,₹6.78 Lakh,delhi-ncr
Jeep,Jeep Compass1.4 Limited Plus BSIV,2019,"86,000kms",Petrol,Automatic,₹10.90 Lakh,delhi-ncr
Honda,Honda AmazeV Petrol BSIV,2019,"53,602kms",Petrol,Manual,₹5.11 Lakh,delhi-ncr
Hyundai,Hyundai CretaSX BSVI,2021,"74,935kms",Petrol,Manual,₹9.48 Lakh,delhi-ncr
Tata,Tata TigorXZ Plus CNG BSVI,2022,"70,473kms",CNG,Manual,₹5.36 Lakh,delhi-ncr
Mercedes-Benz,Mercedes-Benz GLA200,2024,"8,000kms",Petrol,Automatic,₹44.50 Lakh,delhi-ncr
Honda,Honda Cityi VTEC S,2014,"70,800kms",Petrol,Manual,₹3.81 Lakh,delhi-ncr
Renault,Renault DusterPetrol RxL,2013,"1,35,055kms",Petrol,Manual,₹2.07 Lakh,delhi-ncr
Volkswagen,Volkswagen Ameo1.2 MPI Comfortline,2017,"87,143kms",Petrol,Manual,₹3.30 Lakh,delhi-ncr
Ford,Ford Endeavour3.2 Titanium AT 4X4,2017,"1,00,000kms",Diesel,Automatic,₹16.50 Lakh,delhi-ncr
Maruti,Maruti SwiftVXI,2016,"64,708kms",Petrol,Manual,₹3.13 Lakh,delhi-ncr
Maruti,Maruti Vitara BrezzaVXI,2022,"44,506kms",Petrol,Manual,₹6.45 Lakh,delhi-ncr
Honda,Honda Cityi-VTEC CVT VX,2019,"44,350kms",Petrol,Automatic,₹6.83 Lakh,delhi-ncr
BMW,BMW 3 Series Long Wheelbase330Li M Sport First Edition,2021,"9,690kms",Petrol,Automatic,₹38 Lakh,delhi-ncr
Hyundai,Hyundai Grand i10 NiosMagna,2021,"42,914kms",Petrol,Manual,₹3.92 Lakh,delhi-ncr
Tata,Tata AltrozXZ Plus Dark Edition BSVI,2022,"54,561kms",Petrol,Manual,₹5.38 Lakh,delhi-ncr
Tata,Tata SafariXZA Plus AT BSVI,2021,"71,206kms",Diesel,Automatic,₹11.82 Lakh,delhi-ncr
Renault,Renault KWIDRXL,2018,"41,000kms",Petrol,Manual,₹2.75 Lakh,delhi-ncr
Honda,Honda AmazeS i-Vtech,2016,"88,804kms",Petrol,Manual,₹2.88 Lakh,delhi-ncr
Tata,Tata TiagoXZ Plus BSVI,2021,"69,220kms",Petrol,Manual,₹3.82 Lakh,delhi-ncr
Maruti,Maruti Wagon RVXI BS IV,2014,"75,577kms",Petrol,Manual,₹1.98 Lakh,delhi-ncr
Maruti,Maruti Baleno1.2 Delta,2016,"68,000kms",Petrol,Manual,₹3.85 Lakh,delhi-ncr
Hyundai,Hyundai Verna1.6 VTVT S Option,2015,"59,569kms",Petrol,Manual,₹3.62 Lakh,delhi-ncr
Maruti,Maruti CelerioVXI Optional MT BSIV,2018,"40,717kms",Petrol,Manual,₹3.26 Lakh,delhi-ncr
Maruti,Maruti CiazZXi,2015,"92,229kms",Petrol,Manual,₹3.50 Lakh,delhi-ncr
Hyundai,Hyundai Creta1.6 CRDi AT SX Plus,2018,"85,000kms",Diesel,Automatic,₹7.25 Lakh,delhi-ncr
Hyundai,Hyundai Xcent1.2 Kappa S,2016,"84,129kms",Petrol,Manual,₹2.57 Lakh,delhi-ncr
Hyundai,Hyundai Grand i101.2 Kappa Era,2017,"62,175kms",Petrol,Manual,₹2.54 Lakh,delhi-ncr
Kia,Kia CarnivalLimousine Plus,2021,"1,00,000kms",Diesel,Automatic,₹24.25 Lakh,delhi-ncr
Jaguar,Jaguar XE2.0L Diesel Prestige,2018,"25,000kms",Diesel,Automatic,₹27 Lakh,delhi-ncr
Toyota,Toyota Innova Crysta2.4 GX 7 STR AT,2022,"55,000kms",Diesel,Automatic,₹16.50 Lakh,delhi-ncr
Ford,Ford Ecosport1.5 TDCi Titanium BSIV,2016,"60,000kms",Diesel,Manual,₹2.90 Lakh,delhi-ncr
Maruti,Maruti CiazSigma BSIV,2020,"52,000kms",Petrol,Manual,₹6.25 Lakh,delhi-ncr
Ford,Ford EndeavourTitanium Plus 4X2 AT,2021,"86,000kms",Diesel,Automatic,₹25.75 Lakh,delhi-ncr
Honda,Honda AmazeS i-Vtech,2016,"43,584kms",Petrol,Manual,₹3.15 Lakh,delhi-ncr
Maruti,Maruti Ciaz1.4 Sigma,2018,"55,000kms",Petrol,Manual,₹4.65 Lakh,delhi-ncr
Honda,Honda AmazeSX i VTEC,2017,"71,000kms",Petrol,Manual,₹3.55 Lakh,delhi-ncr
Jeep,Jeep Grand CherokeeLimited Opt,2024,"60,000kms",Petrol,Automatic,₹55 Lakh,delhi-ncr
