car_brand,car_name,year,km_driven,fuel,transmission,price,city
Land Rover,Land Rover Range Rover3.0 Diesel LWB Vogue,2021,"48,554kms",Diesel,Automatic,₹1.40 Crore,gurgaon
BMW,BMW iXxDrive50,2024,"4,002kms",Electric,Automatic,₹92 Lakh,gurgaon
Toyota,Toyota Land Cruiser 200VX,2017,"1,30,000kms",Diesel,Automatic,₹1.20 Crore,gurgaon
Lexus,2021Lexus ES300h Luxury  -2022,2020,"80,000kms",Petrol,Automatic,₹32 Lakh,gurgaon
Toyota,Toyota Land Cruiser 200VX,2017,"2,60,000kms",Diesel,Automatic,₹96 Lakh,gurgaon
BMW,BMW 3 SeriesM340i xDrive BSVI,2023,"3,650kms",Petrol,Automatic,₹70 Lakh,gurgaon
Volvo,Volvo XC90D5 R-Design,2018,"69,000kms",Diesel,Automatic,₹32 Lakh,gurgaon
Audi,Audi A645 TFSI Technology WO Matrix BSVI,2021,"18,000kms",Petrol,Automatic,₹39.90 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLC Coupe300 4MATIC BSVI,2022,"23,000kms",Petrol,Automatic,₹57 Lakh,gurgaon
BMW,BMW 3 Series Long Wheelbase330Li M Sport First Edition,2021,"9,690kms",Petrol,Automatic,₹38 Lakh,gurgaon
Honda,Honda City1.5 V MT Exclusive,2015,"1,60,100kms",Petrol,Manual,₹2.20 Lakh,gurgaon
Mahindra,Mahindra XUV700AX7 AT Luxury Pack BSVI,2021,"67,010kms",Petrol,Automatic,₹16.64 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz C-ClassPrime C 220d,2019,"74,000kms",Diesel,Automatic,₹19.90 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz C-ClassC 220d BSVI,2022,"27,200kms",Diesel,Automatic,₹39 Lakh,gurgaon
Mahindra,Mahindra XUV700AX7 AT BSVI,2023,"10,000kms",Petrol,Automatic,₹17.90 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz AMG C 63Coupe,2020,"58,000kms",Petrol,Automatic,₹32 Lakh,gurgaon
Audi,Audi A645 TFSI Technology WO Matrix BSVI,2021,"18,000kms",Petrol,Automatic,₹42.50 Lakh,gurgaon
BMW,BMW X5xDrive 40i M Sport,2023,"17,064kms",Petrol,Automatic,₹83 Lakh,gurgaon
Hyundai,Hyundai TucsonPlatinum AT BSVI,2022,"17,500kms",Petrol,Automatic,₹26.50 Lakh,gurgaon
Ford,Ford EndeavourTitanium Plus 4X2,2019,"58,000kms",Diesel,Automatic,₹23 Lakh,gurgaon
BMW,BMW X5xDrive 30d xLine,2022,"44,266kms",Diesel,Automatic,₹64 Lakh,gurgaon
BMW,BMW X5xDrive 30d xLine,2020,"97,000kms",Diesel,Automatic,₹46.50 Lakh,gurgaon
Land Rover,Land Rover Range Rover Sport3.0 D SE,2017,"47,000kms",Diesel,Automatic,₹51.25 Lakh,gurgaon
Toyota,Toyota Camry2.5 Hybrid,2023,"35,300kms",Petrol,Automatic,₹35.19 Lakh,gurgaon
Volvo,Volvo XC60B5 Inscripition,2022,"33,254kms",Petrol,Automatic,₹41 Lakh,gurgaon
Hyundai,Hyundai VenueSX,2023,"25,300kms",Petrol,Manual,₹8.95 Lakh,gurgaon
Tata,Tata NexonXZ Plus BSVI,2021,"90,829kms",Petrol,Manual,₹5.60 Lakh,gurgaon
Hyundai,Hyundai VenueSX Opt Turbo DCT,2023,"45,387kms",Petrol,Automatic,₹9.66 Lakh,gurgaon
BMW,BMW X4xDrive30i M Sport Black Shadow edition,2022,"33,017kms",Petrol,Automatic,₹55 Lakh,gurgaon
Maruti,Maruti XL6Zeta AT,2022,"30,767kms",Petrol,Automatic,₹9.45 Lakh,gurgaon
Jeep,Jeep Compass1.4 Limited,2017,"54,278kms",Petrol,Automatic,₹8.75 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2016,"78,751kms",Petrol,Automatic,₹14.04 Lakh,gurgaon
BMW,BMW X1sDrive18i M Sport,2024,"17,025kms",Petrol,Automatic,₹44 Lakh,gurgaon
Mahindra,Mahindra TharLX Hard Top Diesel AT,2022,"44,401kms",Diesel,Automatic,₹12.07 Lakh,gurgaon
Volvo,Volvo XC40B4 Ultimate BSVI,2022,"38,000kms",Petrol,Automatic,₹32.75 Lakh,gurgaon
BMW,BMW 2 Series Gran Coupe220d M Sport,2024,"29,000kms",Diesel,Automatic,₹34 Lakh,gurgaon
Land Rover,Land Rover Range Rover3.0 Diesel LWB Vogue,2021,"48,554kms",Diesel,Automatic,₹1.40 Crore,gurgaon
Jaguar,Jaguar XJ3.0L Premium Luxury,2017,"40,000kms",Diesel,Automatic,₹31 Lakh,gurgaon
Jaguar,Jaguar F-PacePrestige 2.0 Petrol,2018,"59,000kms",Petrol,Automatic,₹38.50 Lakh,gurgaon
BMW,BMW X5xDrive 30d xLine,2021,"17,000kms",Diesel,Automatic,₹64.50 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz EQE SUV500 4MATIC,2024,"7,554kms",Electric,Automatic,₹90 Lakh,gurgaon
BMW,BMW 2 Series Gran Coupe220d M Sport,2024,"29,000kms",Diesel,Automatic,₹34 Lakh,gurgaon
Audi,Audi Q330 TFSI Premium FWD,2017,"69,888kms",Petrol,Automatic,₹16.66 Lakh,gurgaon
Kia,Kia SeltosHTX G,2022,"38,780kms",Petrol,Manual,₹9.84 Lakh,gurgaon
BMW,BMW X5xDrive40i M Sport,2024,"16,675kms",Petrol,Automatic,₹89 Lakh,gurgaon
MG,MG AstorSuper EX BSVI,2022,"44,245kms",Petrol,Manual,₹7.14 Lakh,gurgaon
Maruti,Maruti ErtigaVXI,2021,"89,102kms",Petrol,Manual,₹6.95 Lakh,gurgaon
Hyundai,Hyundai VenueSX Plus Turbo DCT BSIV,2020,"41,415kms",Petrol,Automatic,₹6.57 Lakh,gurgaon
Porsche,Porsche Cayenne CoupePlatinum Edition BSVI,2022,"42,939kms",Petrol,Automatic,₹99 Lakh,gurgaon
Maruti,Maruti BrezzaZxi,2022,"26,729kms",Petrol,Manual,₹8.86 Lakh,gurgaon
Tata,Tata NexonXZA Plus (O) AMT Diesel,2022,"60,715kms",Diesel,Automatic,₹7.56 Lakh,gurgaon
MG,MG AstorSharp BSVI,2022,"67,966kms",Petrol,Manual,₹8.66 Lakh,gurgaon
Mini Cooper,Mini Cooper SClassic Pack,2025,"6,201kms",Petrol,Automatic,₹44 Lakh,gurgaon
Kia,Kia SonetHTX Turbo iMT BSVI,2021,"30,923kms",Petrol,Manual,₹6.56 Lakh,gurgaon
Maruti,Maruti Vitara BrezzaVXI,2022,"28,865kms",Petrol,Manual,₹7.38 Lakh,gurgaon
Hyundai,Hyundai VenueSX Opt Turbo DCT Special Edition,2022,"41,082kms",Petrol,Automatic,₹9.34 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz G-ClassAMG G 63,2025,743kms,Petrol,Automatic,₹3.95 Crore,gurgaon
Maruti,Maruti ErtigaZXI,2019,"30,528kms",Petrol,Manual,₹6.81 Lakh,gurgaon
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2018,"62,033kms",Petrol,Automatic,₹7.78 Lakh,gurgaon
Honda,Honda CityZX CVT,2017,"34,914kms",Petrol,Automatic,₹6.50 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz EQE SUV500 4MATIC,2023,"19,000kms",Electric,Automatic,₹85 Lakh,gurgaon
Toyota,Toyota Corolla AltisPetrol LE,2018,"71,918kms",Petrol,Manual,₹9.31 Lakh,gurgaon
Hyundai,Hyundai Creta1.6 SX Diesel,2017,"1,26,765kms",Diesel,Manual,₹6.59 Lakh,gurgaon
Tata,Tata AltrozXZ Diesel,2023,"38,148kms",Diesel,Manual,₹6.99 Lakh,gurgaon
MG,MG HectorSharp CVT,2022,"1,02,000kms",Petrol,Automatic,₹14 Lakh,gurgaon
Hyundai,Hyundai Verna1.6 VTVT SX,2017,"51,573kms",Petrol,Manual,₹6.38 Lakh,gurgaon
Maruti,Maruti ErtigaZXI AT,2018,"51,683kms",Petrol,Automatic,₹7.66 Lakh,gurgaon
Tata,Tata NexonXZA Plus (O) AMT Diesel,2022,"1,07,105kms",Diesel,Automatic,₹7.59 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLS450 4matic,2024,"12,500kms",Petrol,Automatic,₹1.22 Crore,gurgaon
MG,MG HectorSharp DCT,2019,"43,767kms",Petrol,Automatic,₹9.02 Lakh,gurgaon
MG,MG HectorSharp DCT,2019,"83,300kms",Petrol,Automatic,₹8.80 Lakh,gurgaon
Hyundai,Hyundai VernaVTVT 1.6 AT SX Plus,2019,"51,996kms",Petrol,Automatic,₹6.97 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz EQE SUV500 4MATIC,2025,"8,500kms",Electric,Automatic,₹90 Lakh,gurgaon
Tata,Tata AltrozXZ Diesel,2021,"37,275kms",Diesel,Manual,₹6.74 Lakh,gurgaon
Volkswagen,Volkswagen Taigun1.0 Highline,2022,"77,531kms",Petrol,Manual,₹7.83 Lakh,gurgaon
Hyundai,Hyundai Tucson2.0 e-VGT 2WD AT GLS,2017,"29,000kms",Diesel,Automatic,₹9.50 Lakh,gurgaon
Audi,Audi Q3Premium Plus BSVI,2023,"32,882kms",Petrol,Automatic,₹32 Lakh,gurgaon
Skoda,Skoda Kushaq1.5 TSI Style BSVI,2021,"1,06,000kms",Petrol,Manual,₹8.90 Lakh,gurgaon
Mahindra,Mahindra XUV500W7 AT BSIV,2018,"25,000kms",Diesel,Automatic,₹8.11 Lakh,gurgaon
Honda,Honda Cityi VTEC S,2016,"70,341kms",Petrol,Manual,₹3.76 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz EQE SUV500 4MATIC,2023,"16,778kms",Electric,Automatic,₹85 Lakh,gurgaon
Renault,Renault KigerRXZ Turbo,2021,"76,709kms",Petrol,Manual,₹5.19 Lakh,gurgaon
Hyundai,Hyundai i20Magna Plus BSIV,2019,"80,799kms",Petrol,Manual,₹3.77 Lakh,gurgaon
Tata,Tata NexonXZ Plus (O) Diesel,2021,"47,495kms",Diesel,Manual,₹5.95 Lakh,gurgaon
MG,MG GlosterSuper 7-Str,2022,"60,000kms",Diesel,Automatic,₹20 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2017,"47,840kms",Petrol,Manual,₹3.91 Lakh,gurgaon
Honda,Honda CityV MT,2016,"1,21,935kms",Petrol,Manual,₹4.50 Lakh,gurgaon
Honda,Honda Cityi VTEC SV,2014,"64,542kms",Petrol,Manual,₹3.08 Lakh,gurgaon
MG,MG HectorSharp CVT,2021,"44,000kms",Petrol,Automatic,₹11.50 Lakh,gurgaon
Honda,Honda AmazeS Option i-VTEC,2018,"62,085kms",Petrol,Manual,₹3.67 Lakh,gurgaon
Tata,Tata TiagoXZ Plus,2020,"41,031kms",Petrol,Manual,₹3.40 Lakh,gurgaon
Maruti,Maruti BalenoZeta Diesel,2016,"93,308kms",Diesel,Manual,₹4 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLS350d Grand Edition,2020,"60,000kms",Diesel,Automatic,₹60 Lakh,gurgaon
Hyundai,Hyundai i20Asta 1.2,2016,"93,390kms",Petrol,Manual,₹3.35 Lakh,gurgaon
Maruti,Maruti Baleno1.2 Delta,2018,"52,863kms",Petrol,Manual,₹3.54 Lakh,gurgaon
Maruti,Maruti BalenoZeta Diesel,2021,"38,461kms",Diesel,Manual,₹5.45 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz S-ClassS 350 CDI,2016,"8,300kms",Diesel,Automatic,₹22.50 Lakh,gurgaon
Honda,Honda Amaze 2nd GenVX,2018,"92,214kms",Petrol,Manual,₹4.13 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2014,"47,823kms",Petrol,Manual,₹3.12 Lakh,gurgaon
Honda,Honda CitySV MT,2017,"1,03,399kms",Petrol,Manual,₹4.67 Lakh,gurgaon
Kia,Kia SeltosGTX Plus DCT,2020,"1,20,000kms",Petrol,Automatic,₹8.50 Lakh,gurgaon
Maruti,Maruti SwiftVXI,2018,"95,444kms",Petrol,Manual,₹4.13 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2018,"42,839kms",Petrol,Manual,₹3.38 Lakh,gurgaon
Honda,Honda AmazeS Option i-VTEC,2018,"62,085kms",Petrol,Manual,₹3.67 Lakh,gurgaon
Kia,Kia SonetGTX Plus Turbo DCT DT,2020,"90,000kms",Petrol,Automatic,₹7.50 Lakh,gurgaon
Maruti,Maruti Baleno1.2 Delta,2018,"52,863kms",Petrol,Manual,₹3.54 Lakh,gurgaon
Hyundai,Hyundai Grand i10Magna,2017,"34,000kms",Petrol,Manual,₹3.05 Lakh,gurgaon
Maruti,Maruti CiazVXi,2016,"56,000kms",Petrol,Manual,₹4.10 Lakh,gurgaon
Jaguar,Jaguar XEPortfolio,2018,"72,738kms",Petrol,Automatic,₹20 Lakh,gurgaon
Maruti,Maruti Swift DzireAMT VXI,2019,"69,000kms",Petrol,Automatic,₹5.50 Lakh,gurgaon
Mahindra,Mahindra Bolero Power PlusSLX,2020,"86,000kms",Diesel,Manual,₹5.95 Lakh,gurgaon
Hyundai,Hyundai i20Asta 1.2,2016,"93,390kms",Petrol,Manual,₹3.35 Lakh,gurgaon
BMW,BMW 5 Series520d Luxury Line,2022,"25,000kms",Diesel,Automatic,₹42 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2016,"45,626kms",Petrol,Manual,₹3.66 Lakh,gurgaon
Tata,Tata Tiago1.2 Revotron XZ Plus,2019,"44,718kms",Petrol,Manual,₹4.05 Lakh,gurgaon
Honda,Honda Cityi VTEC SV,2014,"64,542kms",Petrol,Manual,₹3.08 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz GLC300,2024,"28,743kms",Petrol,Automatic,₹60 Lakh,gurgaon
Hyundai,Hyundai i20Magna Plus BSIV,2019,"80,799kms",Petrol,Manual,₹3.77 Lakh,gurgaon
Ford,Ford Ecosport1.5 Petrol Titanium BSIV,2017,"72,585kms",Petrol,Manual,₹4.55 Lakh,gurgaon
Maruti,Maruti BalenoDelta,2020,"51,008kms",Petrol,Manual,₹4.40 Lakh,gurgaon
Ford,Ford Endeavour3.2 Titanium AT 4X4,2016,"1,71,000kms",Diesel,Automatic,₹11.70 Lakh,gurgaon
Maruti,Maruti SwiftVXI,2018,"64,451kms",Petrol,Manual,₹3.61 Lakh,gurgaon
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2016,"45,626kms",Petrol,Manual,₹3.66 Lakh,gurgaon
Tata,Tata Tiago1.2 Revotron XZ Plus,2019,"44,718kms",Petrol,Manual,₹4.05 Lakh,gurgaon
Honda,Honda ElevateV CVT Non RF,2024,"20,000kms",Petrol,Automatic,₹11 Lakh,gurgaon
Maruti,Maruti CiazAlpha Automatic BSIV,2019,"85,161kms",Petrol,Automatic,₹4.93 Lakh,gurgaon
Honda,Honda AmazeS i-VTEC,2017,"74,140kms",Petrol,Manual,₹3.11 Lakh,gurgaon
Hyundai,Hyundai Grand i10 NiosAMT Sportz CRDi,2021,"56,632kms",Diesel,Automatic,₹5.95 Lakh,gurgaon
Tata,Tata SafariXZA AT BSVI,2021,"28,000kms",Diesel,Automatic,₹13.50 Lakh,gurgaon
Hyundai,Hyundai i20 Active1.2 SX,2016,"55,000kms",Petrol,Manual,₹4.25 Lakh,gurgaon
Hyundai,Hyundai Grand i10Magna,2017,"34,000kms",Petrol,Manual,₹3.05 Lakh,gurgaon
Maruti,Maruti CiazVXi,2016,"56,000kms",Petrol,Manual,₹4.10 Lakh,gurgaon
BMW,BMW 5 Series520d Luxury Line,2017,"70,000kms",Diesel,Automatic,₹14 Lakh,gurgaon
Maruti,Maruti Swift DzireAMT VXI,2019,"69,000kms",Petrol,Automatic,₹5.50 Lakh,gurgaon
Maruti,Maruti SwiftLXI Optional-O,2017,"66,000kms",Petrol,Manual,₹3.80 Lakh,gurgaon
Mahindra,Mahindra Bolero Power PlusSLX,2020,"86,000kms",Diesel,Manual,₹5.95 Lakh,gurgaon
Lexus,Lexus NX300h,2018,"58,398kms",Petrol,Automatic,₹28 Lakh,gurgaon
Honda,Honda AmazeVX i-VTEC,2018,"52,000kms",Petrol,Manual,₹4.45 Lakh,gurgaon
Honda,Honda Cityi VTEC S,2016,"84,358kms",Petrol,Manual,₹4.25 Lakh,gurgaon
Nissan,Nissan MicraCVT XV,2018,"58,000kms",Petrol,Automatic,₹3.85 Lakh,gurgaon
Skoda,Skoda SuperbLK 2.0 TDI AT,2018,"1,16,000kms",Diesel,Automatic,₹12.50 Lakh,gurgaon
Honda,Honda AmazeS i-VTEC,2016,"75,000kms",Petrol,Manual,₹3.25 Lakh,gurgaon
Hyundai,Hyundai Xcent1.2 Kappa S,2015,"75,000kms",Petrol,Manual,₹3.10 Lakh,gurgaon
Toyota,Toyota Corolla Altis1.8 J,2014,"37,000kms",Petrol,Manual,₹3.95 Lakh,gurgaon
Audi,Audi A335 TFSI Premium Plus,2019,"55,419kms",Petrol,Automatic,₹19 Lakh,gurgaon
Mahindra,Mahindra VeritoExecutive D6 BSIV,2019,"53,856kms",Diesel,Manual,₹4.10 Lakh,gurgaon
Tata,Tata SafariDICOR 2.2 EX 4x2,2015,"76,000kms",Diesel,Manual,₹5.95 Lakh,gurgaon
Honda,Honda AmazeVX i-VTEC,2018,"76,617kms",Petrol,Manual,₹4.65 Lakh,gurgaon
Honda,Honda WR-Vi-VTEC VX,2019,"80,000kms",Petrol,Manual,₹6.50 Lakh,gurgaon
Hyundai,Hyundai i201.4 Sportz,2018,"65,000kms",Diesel,Manual,₹4.95 Lakh,gurgaon
Maruti,Maruti BalenoDelta,2020,"51,008kms",Petrol,Manual,₹4.40 Lakh,gurgaon
Ford,Ford Ecosport1.5 Petrol Titanium BSIV,2017,"72,585kms",Petrol,Manual,₹4.55 Lakh,gurgaon
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2017,"70,000kms",Petrol,Manual,₹7.15 Lakh,gurgaon
Hyundai,Hyundai AlcazarSignature (O) Diesel AT BSVI,2021,"69,534kms",Diesel,Automatic,₹11.95 Lakh,gurgaon
Honda,Honda CityZX MT,2021,"30,377kms",Petrol,Manual,₹10.37 Lakh,gurgaon
Tata,2021Tata HarrierXT plus  -2022,2020,"68,633kms",Diesel,Manual,₹11.40 Lakh,gurgaon
Skoda,Skoda Octavia1.8 TSI AT L K,2017,"50,000kms",Petrol,Automatic,₹7.50 Lakh,gurgaon
Kia,Kia CarensLuxury Plus 6STR Diesel BSVI,2022,"63,621kms",Diesel,Manual,₹13.45 Lakh,gurgaon
Mahindra,Mahindra TharLX 4WD Hard Top Diesel BSVI,2021,"26,520kms",Diesel,Manual,₹11.70 Lakh,gurgaon
Mercedes-Benz,Mercedes-Benz E-ClassE200 Edition E,2018,"15,983kms",Petrol,Automatic,₹32.22 Lakh,gurgaon
Hyundai,Hyundai i20Magna Optional 1.2,2014,"62,000kms",Petrol,Manual,₹3.25 Lakh,gurgaon
Jaguar,Jaguar XJ50 Special Edition,2019,"45,000kms",Diesel,Automatic,₹45 Lakh,gurgaon
Volvo,Volvo XC90D5 Inscription,2021,"45,000kms",Diesel,Automatic,₹65 Lakh,gurgaon
Jaguar,Jaguar XF2.0 Petrol Prestige,2018,"18,000kms",Petrol,Automatic,₹35 Lakh,gurgaon
BMW,BMW 5 Series530i M Sport BSVI,2022,"35,000kms",Petrol,Automatic,₹53 Lakh,gurgaon
BMW,BMW 7 Series730Ld DPE Signature,2022,"13,000kms",Diesel,Automatic,₹82 Lakh,gurgaon
Land Rover,Land Rover Discovery2.0 SE,2021,"40,000kms",Petrol,Automatic,₹39.50 Lakh,gurgaon
Hyundai,Hyundai VernaSX Turbo DCT,2023,"30,092kms",Petrol,Automatic,₹12.94 Lakh,gurgaon
BMW,BMW X1sDrive18i M Sport,2024,"20,196kms",Petrol,Automatic,₹44 Lakh,gurgaon
Volkswagen,Volkswagen Taigun1.0 Topline AT,2022,"49,415kms",Petrol,Automatic,₹11.93 Lakh,gurgaon
Jeep,Jeep Compass1.4 Sport,2021,"74,645kms",Petrol,Manual,₹10.60 Lakh,gurgaon
Kia,Kia CarensPrestige Plus Diesel,2022,"37,701kms",Diesel,Manual,₹10.90 Lakh,gurgaon
BMW,BMW iXxDrive50,2024,"19,864kms",Electric,Automatic,₹89 Lakh,gurgaon
Hyundai,Hyundai VernaSX Turbo DCT,2023,"27,506kms",Petrol,Automatic,₹14.26 Lakh,gurgaon
Skoda,Skoda Kushaq1.5 TSI Ambition,2021,"85,884kms",Petrol,Manual,₹10.51 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style,2022,"22,873kms",Petrol,Manual,₹11.37 Lakh,gurgaon
Hyundai,Hyundai Tucson2.0 e-VGT 2WD AT GLS,2017,"82,000kms",Diesel,Automatic,₹11 Lakh,gurgaon
Skoda,Skoda Kushaq1.0 TSI Style,2022,"1,16,264kms",Petrol,Manual,₹11.06 Lakh,gurgaon
Skoda,Skoda Kushaq1.5 TSI Style DSG,2022,"71,293kms",Petrol,Automatic,₹12.94 Lakh,gurgaon
