,car_brand,car_name,year,km_driven,fuel,transmission,price,city
0,Audi,Audi A4Technology,2021,"30,000kms",Petrol,Automatic,₹35 Lakh,Hyderabad
1,Honda,Honda CityS,2013,"74,638kms",Petrol,Manual,₹3.25 Lakh,Hyderabad
2,Toyota,Toyota Innova HycrossVX 7STR Hybrid,2023,"72,000kms",Petrol,Automatic,₹24.45 Lakh,Hyderabad
3,Maruti,Maruti ErtigaSHVS ZDI,2016,"81,000kms",Diesel,Manual,₹6.85 Lakh,Hyderabad
4,Tata,Tata NexonPure Diesel,2024,"22,000kms",Diesel,Manual,₹10.50 Lakh,Hyderabad
5,Ford,Ford Endeavour2.2 Titanium AT 4X2,2018,"1,06,000kms",Diesel,Automatic,₹19.95 Lakh,Hyderabad
6,MG,MG Hector PlusSharp CVT,2022,"53,000kms",Petrol,Automatic,₹15.45 Lakh,Hyderabad
7,MG,MG HectorSharp CVT,2023,"30,000kms",Petrol,Automatic,₹17.90 Lakh,Hyderabad
8,MG,MG Windsor EVEssence,2024,"30,000kms",Electric,Automatic,₹13.70 Lakh,Hyderabad
9,Maruti,Maruti S CrossDelta,2020,"96,121kms",Petrol,Manual,₹7.90 Lakh,Hyderabad
10,Maruti,Maruti S CrossZeta DDiS 200 SH,2018,"82,043kms",Diesel,Manual,₹6.71 Lakh,Hyderabad
11,Maruti,Maruti BrezzaZxi,2023,"48,000kms",Petrol,Manual,₹9.50 Lakh,Hyderabad
12,Hyundai,Hyundai VernaCRDi 1.6 AT SX Plus,2019,"55,000kms",Diesel,Automatic,₹10 Lakh,Hyderabad
13,Volkswagen,Volkswagen Vento1.0 TSI Highline Plus AT,2021,"83,961kms",Petrol,Automatic,₹8.32 Lakh,Hyderabad
14,Maruti,Maruti BalenoDelta,2019,"87,905kms",Petrol,Manual,₹6.95 Lakh,Hyderabad
15,Toyota,Toyota Innova2.5 G (Diesel) 7 Seater BS IV,2014,"2,28,580kms",Diesel,Manual,₹7.95 Lakh,Hyderabad
16,Nissan,Nissan MagniteTekna Plus,2024,"7,800kms",Petrol,Manual,₹8.50 Lakh,Hyderabad
17,Maruti,Maruti CiazAlpha AT BSVI,2022,"34,891kms",Petrol,Automatic,₹9 Lakh,Hyderabad
18,Maruti,Maruti CiazAlpha BSVI,2020,"25,000kms",Petrol,Manual,₹8.99 Lakh,Hyderabad
19,Maruti,Maruti Baleno1.2 Delta,2017,"72,169kms",Petrol,Manual,₹6.25 Lakh,Hyderabad
20,Hyundai,Hyundai VernaSX Diesel,2020,"1,07,300kms",Diesel,Manual,₹9.50 Lakh,Hyderabad
