car_brand,car_name,year,km_driven,fuel,transmission,price,city
Mercedes-Benz,Mercedes-Benz S-ClassS 350 d,2021,"34,000kms",Diesel,Automatic,₹99 Lakh,jaipur
Tata,Tata BoltRevotron XMS,2015,"65,000kms",Petrol,Manual,₹2.70 Lakh,jaipur
Maruti,Maruti Wagon RVXI BS IV,2014,"80,000kms",Petrol,Manual,₹2.75 Lakh,jaipur
Ford,Ford EcosportTitanium,2020,"32,263kms",Petrol,Manual,₹6.62 Lakh,jaipur
Mahindra,Mahindra Scorpio NZ8 Select,2024,"15,000kms",Petrol,Manual,₹17.50 Lakh,jaipur
Maruti,Maruti CiazAlpha Diesel,2019,"64,448kms",Diesel,Manual,₹6.88 Lakh,jaipur
Ford,Ford EcosportTitanium,2020,"55,096kms",Petrol,Manual,₹7.07 Lakh,jaipur
Kia,Kia SeltosHTK G,2021,"29,800kms",Petrol,Manual,₹7.65 Lakh,jaipur
Land Rover,Land Rover Discovery SportDynamic SE,2024,"17,000kms",Petrol,Automatic,₹59 Lakh,jaipur
Tata,Tata NexonXZ Plus (O) Diesel,2022,"37,852kms",Diesel,Manual,₹8.30 Lakh,jaipur
Tata,Tata NexonXM BSVI,2022,"70,000kms",Petrol,Manual,₹8 Lakh,jaipur
Kia,Kia SonetHTX Diesel BSVI,2020,"56,000kms",Diesel,Manual,₹8.50 Lakh,jaipur
Mercedes-Benz,Mercedes-Benz CLA200 CDI Style,2017,"48,000kms",Diesel,Automatic,₹21 Lakh,jaipur
Tata,Tata HarrierXZ BSIV,2019,"78,000kms",Diesel,Manual,₹9.11 Lakh,jaipur
Ford,Ford Ecosport1.5 Diesel Titanium BSIV,2019,"77,000kms",Diesel,Manual,₹6.50 Lakh,jaipur
Toyota,Toyota Corolla AltisD-4D G,2016,"48,192kms",Diesel,Manual,₹8.90 Lakh,jaipur
BMW,BMW X1sDrive20i xLine,2020,"58,000kms",Petrol,Automatic,₹27 Lakh,jaipur
Toyota,Toyota Etios Cross1.2L G,2018,"63,842kms",Petrol,Manual,₹4.72 Lakh,jaipur
Tata,Tata Tiago1.2 Revotron XZA,2018,"90,000kms",Petrol,Automatic,₹3.75 Lakh,jaipur
Maruti,Maruti CelerioZXI BSVI,2022,"40,923kms",Petrol,Manual,₹4.90 Lakh,jaipur
Tata,Tata CurvvAccomplished S DCA,2025,"7,300kms",Petrol,Automatic,₹15.90 Lakh,jaipur
Hyundai,Hyundai i201.2 Spotz,2018,"79,000kms",Petrol,Manual,₹5.25 Lakh,jaipur
Maruti,Maruti CelerioVXI AT,2014,"42,000kms",Petrol,Automatic,₹3.25 Lakh,jaipur
Honda,Honda AmazeVX CVT Diesel BSIV,2018,"71,000kms",Diesel,Automatic,₹5.51 Lakh,jaipur
Maruti,Maruti Wagon RDuo Lxi,2011,"1,50,000kms",LPG,Manual,₹2.50 Lakh,jaipur
Maruti,Maruti Swift DzireVDI,2017,"77,000kms",Diesel,Manual,₹6 Lakh,jaipur
Maruti,Maruti Baleno1.2 Delta,2016,"83,000kms",Petrol,Manual,₹4.50 Lakh,jaipur
Maruti,Maruti CelerioZXI BSVI,2022,"40,923kms",Petrol,Manual,₹4.90 Lakh,jaipur
Honda,Honda ElevateV CVT Non RF,2024,"10,000kms",Petrol,Automatic,₹12.51 Lakh,jaipur
Kia,Kia CarnivalPrestige 6 STR,2021,"95,954kms",Diesel,Automatic,₹22.75 Lakh,jaipur
Hyundai,Hyundai AlcazarSignature 6Str DCT,2023,"37,666kms",Petrol,Automatic,₹17.05 Lakh,jaipur
Kia,Kia CarensLuxury Plus Diesel AT 6 STR BSVI,2022,"69,500kms",Diesel,Automatic,₹15.50 Lakh,jaipur
Datsun,Datsun GO PlusT BSIV,2016,"44,000kms",Petrol,Manual,₹2.25 Lakh,jaipur
Ford,Ford Endeavour2.2 Trend MT 4X2,2016,"1,70,565kms",Diesel,Manual,₹16 Lakh,jaipur
Volkswagen,Volkswagen Taigun1.0 Topline,2021,"59,721kms",Petrol,Manual,₹10.03 Lakh,jaipur
Honda,Honda CityV MT,2022,"19,988kms",Petrol,Manual,₹7.74 Lakh,jaipur
Mahindra,Mahindra TharLX 4WD Hard Top BSVI,2022,"30,000kms",Petrol,Manual,₹14 Lakh,jaipur
Kia,Kia SonetHTX Diesel iMT,2023,"44,541kms",Diesel,Automatic,₹10.03 Lakh,jaipur
Kia,Kia SonetGTX Plus Turbo iMT BSVI,2022,"25,382kms",Petrol,Manual,₹10.75 Lakh,jaipur
Ford,Ford EcosportTitanium,2018,"94,641kms",Petrol,Manual,₹6.54 Lakh,jaipur
Maruti,Maruti SwiftZXi,2024,"40,000kms",Petrol,Manual,₹7.80 Lakh,jaipur
Hyundai,Hyundai i20Asta Opt,2023,"33,303kms",Petrol,Manual,₹6.75 Lakh,jaipur
Toyota,Toyota Camry2.5 Hybrid,2023,"18,000kms",Petrol,Automatic,₹40 Lakh,jaipur
Maruti,Maruti BalenoZeta CVT,2021,"95,659kms",Petrol,Automatic,₹5.50 Lakh,jaipur
Toyota,Toyota Fortuner3.0 Diesel,2010,"1,60,000kms",Diesel,Manual,₹9 Lakh,jaipur
Tata,Tata Nexon1.2 Revotron XM,2019,"1,11,783kms",Petrol,Manual,₹4.16 Lakh,jaipur
Honda,Honda Amaze 2nd GenS BSVI,2022,"26,343kms",Petrol,Manual,₹5.40 Lakh,jaipur
Honda,Honda WR-Vi-DTEC S,2021,"56,345kms",Diesel,Manual,₹8.14 Lakh,jaipur
Maruti,Maruti SwiftVDI,2012,"70,000kms",Diesel,Manual,₹3 Lakh,jaipur
