car_brand,car_name,year,km_driven,fuel,transmission,price,city
Lamborghini ,Lamborghini UrusV8,2020,"19,500kms",Petrol,Automatic,₹3.15 Crore,kolkata
Maruti,Maruti BalenoZeta,2021,"51,000kms",Petrol,Manual,₹4.75 Lakh,kolkata
Hyundai,Hyundai Grand i10 NiosCorp Edition,2022,"31,000kms",Petrol,Manual,₹4.69 Lakh,kolkata
Honda,Honda City1.5 V MT Sunroof,2012,"69,000kms",Petrol,Manual,₹2.25 Lakh,kolkata
Tata,Tata Tigor EVXZ Plus,2022,"20,000kms",Electric,Automatic,₹7.50 Lakh,kolkata
Honda,Honda City1.5 V MT,2010,"81,644kms",Petrol,Manual,₹2.15 Lakh,kolkata
Volkswagen,Volkswagen CrossPolo1.5 TDI,2014,"48,000kms",Diesel,Manual,₹2.61 Lakh,kolkata
Maruti,Maruti Wagon RVXI BS IV,2016,"41,173kms",Petrol,Manual,₹2.20 Lakh,kolkata
Maruti,Maruti SwiftVDI,2013,"52,000kms",Diesel,Manual,₹2.45 Lakh,kolkata
Maruti,Maruti BalenoDelta Diesel,2021,"58,932kms",Diesel,Manual,₹4.74 Lakh,kolkata
Maruti,Maruti BalenoDelta Diesel,2016,"21,761kms",Diesel,Manual,₹3.89 Lakh,kolkata
Honda,Honda Cityi-VTEC VX,2018,"60,449kms",Petrol,Manual,₹6.25 Lakh,kolkata
Hyundai,Hyundai CretaSX BSVI,2021,"30,000kms",Petrol,Manual,₹8.69 Lakh,kolkata
Honda,Honda Cityi-VTEC VX,2018,"60,449kms",Petrol,Manual,₹6.25 Lakh,kolkata
Honda,Honda CityZX MT,2021,"25,742kms",Petrol,Manual,₹7.95 Lakh,kolkata
Honda,Honda CityVX MT,2021,"58,500kms",Petrol,Manual,₹6.99 Lakh,kolkata
Tata,Tata NexonXZ Plus BSVI,2023,"72,000kms",Petrol,Manual,₹7 Lakh,kolkata
Hyundai,Hyundai Grand i10 NiosSportz,2020,"27,000kms",Petrol,Manual,₹4.65 Lakh,kolkata
Hyundai,Hyundai i20Magna 1.2,2015,"38,000kms",Petrol,Manual,₹3.31 Lakh,kolkata
Maruti,Maruti Baleno1.2 Alpha,2019,"73,830kms",Petrol,Manual,₹4.10 Lakh,kolkata
Maruti,Maruti Wagon RAMT VXI,2017,"57,000kms",Petrol,Automatic,₹2.71 Lakh,kolkata
Maruti,Maruti Ignis1.2 Zeta BSIV,2018,"29,145kms",Petrol,Manual,₹3.26 Lakh,kolkata
Maruti,Maruti CiazPetrol,2017,"51,385kms",Diesel,Manual,₹5.04 Lakh,kolkata
Hyundai,Hyundai i201.2 Magna Executive,2017,"56,848kms",Petrol,Manual,₹3.33 Lakh,kolkata
Maruti,Maruti Wagon RVXI BS IV,2016,"42,000kms",Petrol,Manual,₹2.75 Lakh,kolkata
Honda,Honda CitySV MT,2015,"54,661kms",Petrol,Manual,₹3.90 Lakh,kolkata
Maruti,Maruti Alto K10VXI AMT,2019,"32,750kms",Petrol,Automatic,₹3.07 Lakh,kolkata
Hyundai,Hyundai i201.2 Asta,2018,"44,706kms",Petrol,Manual,₹4.82 Lakh,kolkata
Maruti,Maruti SwiftVXI BSVI,2022,"41,000kms",Petrol,Manual,₹5.25 Lakh,kolkata
Honda,Honda Cityi-VTEC V,2018,"51,392kms",Petrol,Manual,₹4.85 Lakh,kolkata
Honda,Honda Cityi-DTEC VX,2018,"84,269kms",Diesel,Manual,₹5.15 Lakh,kolkata
Honda,Honda CitySV,2019,"47,607kms",Petrol,Manual,₹5.38 Lakh,kolkata
Kia,Kia SonetGTX Plus Turbo iMT BSVI,2021,"35,000kms",Petrol,Manual,₹7.49 Lakh,kolkata
Tata,Tata TiagoXT BSVI,2022,"82,299kms",Petrol,Manual,₹3.61 Lakh,kolkata
Toyota,Toyota GlanzaG CVT,2019,"45,930kms",Petrol,Automatic,₹4.25 Lakh,kolkata
Maruti,Maruti CelerioVXI AMT,2017,"68,747kms",Petrol,Automatic,₹3.01 Lakh,kolkata
Hyundai,Hyundai VenueSX Turbo BSIV,2019,"23,000kms",Petrol,Manual,₹5.99 Lakh,kolkata
Maruti,Maruti S-PressoVXI Plus AT  -2022,2019,"42,450kms",Petrol,Automatic,₹3.10 Lakh,kolkata
Hyundai,Hyundai i20Magna Plus,2019,"54,777kms",Petrol,Manual,₹4.46 Lakh,kolkata
Honda,Honda AmazeVX i DTEC,2018,"1,00,226kms",Diesel,Manual,₹4.50 Lakh,kolkata
Volkswagen,Volkswagen PoloGT TSI,2014,"20,000kms",Petrol,Automatic,₹5 Lakh,kolkata
Hyundai,Hyundai i20Magna Plus,2019,"54,777kms",Petrol,Manual,₹4.46 Lakh,kolkata
Honda,Honda AmazeVX i DTEC,2018,"1,00,226kms",Diesel,Manual,₹4.50 Lakh,kolkata
Honda,Honda CitySV MT,2019,"40,100kms",Petrol,Manual,₹4.70 Lakh,kolkata
Maruti,Maruti Wagon RVXI BS IV,2018,"38,000kms",Petrol,Manual,₹3.15 Lakh,kolkata
Maruti,Maruti Baleno1.2 Zeta,2016,"83,465kms",Petrol,Manual,₹3.55 Lakh,kolkata
Maruti,Maruti S-PressoVXI Plus AT  -2022,2019,"42,450kms",Petrol,Automatic,₹3.10 Lakh,kolkata
Tata,Tata Tiago1.2 Revotron XZ,2019,"48,000kms",Petrol,Manual,₹3.75 Lakh,kolkata
Maruti,Maruti CelerioVXI AT,2016,"3,000kms",Petrol,Automatic,₹3.20 Lakh,kolkata
Hyundai,Hyundai Grand i10 NiosSportz,2020,"31,100kms",Petrol,Manual,₹4.25 Lakh,kolkata
Volkswagen,Volkswagen Polo1.5 TDI Comfortline,2015,"58,000kms",Diesel,Manual,₹3.25 Lakh,kolkata
Honda,Honda Jazz1.2 VX i VTEC,2018,"66,000kms",Petrol,Manual,₹3.70 Lakh,kolkata
Maruti,Maruti Baleno1.2 Delta,2018,"29,000kms",Petrol,Manual,₹3.99 Lakh,kolkata
Hyundai,Hyundai i20Sportz 1.2,2015,"49,151kms",Petrol,Manual,₹3.65 Lakh,kolkata
Hyundai,Hyundai i20 Active1.2 S,2015,"52,235kms",Petrol,Manual,₹3.75 Lakh,kolkata
Ford,Ford AspireTitanium Blu Diesel,2018,"49,114kms",Diesel,Manual,₹4.45 Lakh,kolkata
Hyundai,Hyundai VenueSX Diesel,2021,"53,134kms",Diesel,Manual,₹7.10 Lakh,kolkata
Maruti,Maruti CiazZDi Plus SHVS,2016,"85,000kms",Diesel,Manual,₹4.85 Lakh,kolkata
Maruti,Maruti IgnisZeta BSVI,2020,"45,000kms",Petrol,Manual,₹4.45 Lakh,kolkata
Hyundai,Hyundai i20Magna Plus BSIV,2019,"46,000kms",Petrol,Manual,₹4.75 Lakh,kolkata
BMW,BMW 3 Series330i Sport,2022,"20,000kms",Petrol,Automatic,₹30.99 Lakh,kolkata
Honda,Honda Cityi-VTEC VX,2018,"83,000kms",Petrol,Manual,₹5.45 Lakh,kolkata
Honda,Honda Cityi VTEC V,2015,"20,000kms",Petrol,Manual,₹3.95 Lakh,kolkata
Honda,Honda Cityi VTEC V,2017,"62,561kms",Petrol,Manual,₹4.25 Lakh,kolkata
Hyundai,Hyundai TucsonSignature AT,2023,"13,000kms",Petrol,Automatic,₹26 Lakh,kolkata
Honda,Honda Cityi VTEC V,2017,"62,561kms",Petrol,Manual,₹4.25 Lakh,kolkata
Maruti,Maruti Swift DzireVXI 1.2,2017,"50,000kms",Petrol,Manual,₹4.75 Lakh,kolkata
Maruti,Maruti Ignis1.2 Zeta BSIV,2019,"52,911kms",Petrol,Manual,₹4.50 Lakh,kolkata
Kia,Kia SeltosHTK Diesel,2024,"10,000kms",Diesel,Manual,₹10.86 Lakh,kolkata
Honda,Honda Cityi-VTEC CVT ZX,2017,"80,000kms",Petrol,Automatic,₹5.75 Lakh,kolkata
Maruti,Maruti ErtigaVDI,2012,"48,127kms",Diesel,Manual,₹3.90 Lakh,kolkata
Hyundai,Hyundai Grand i10 NiosMagna,2022,"6,000kms",Petrol,Manual,₹4.69 Lakh,kolkata
BMW,BMW 3 SeriesM340i xDrive,2024,"3,500kms",Petrol,Automatic,₹62 Lakh,kolkata
Hyundai,Hyundai Grand i101.2 Kappa Magna BSIV,2018,"49,000kms",Petrol,Manual,₹3.55 Lakh,kolkata
Honda,Honda Cityi-VTEC CVT ZX,2017,"74,000kms",Petrol,Automatic,₹5.25 Lakh,kolkata
Maruti,Maruti Swift DzireZXI 1.2,2018,"39,000kms",Petrol,Manual,₹4.75 Lakh,kolkata
Honda,Honda Jazz1.2 V AT i VTEC,2015,"63,000kms",Petrol,Automatic,₹2.80 Lakh,kolkata
Maruti,Maruti CiazVDi Option SHVS,2015,"49,500kms",Diesel,Manual,₹3.70 Lakh,kolkata
Honda,Honda CityZX CVT,2022,"43,284kms",Petrol,Automatic,₹8.79 Lakh,kolkata
Hyundai,Hyundai Elantra2.0 SX Option AT,2019,"54,199kms",Petrol,Automatic,₹7.10 Lakh,kolkata
Audi,Audi A335 TFSI Premium,2018,"10,300kms",Petrol,Automatic,₹16 Lakh,kolkata
Mahindra,Mahindra XUV300W8 BSVI,2021,"39,740kms",Petrol,Manual,₹6.35 Lakh,kolkata
Maruti,Maruti CelerioZXI,2018,"76,332kms",Petrol,Manual,₹2.55 Lakh,kolkata
Maruti,Maruti RitzVDi,2013,"65,293kms",Diesel,Manual,₹2.89 Lakh,kolkata
Toyota,Toyota Innova Crysta2.4 VX MT 8S BSIV,2016,"1,19,237kms",Diesel,Manual,₹11.35 Lakh,kolkata
Renault,Renault KWIDClimber 1.0 MT,2017,"47,305kms",Petrol,Manual,₹2.84 Lakh,kolkata
Hyundai,Hyundai Xcent1.1 CRDi S,2014,"66,000kms",Diesel,Manual,₹2.65 Lakh,kolkata
Skoda,Skoda SuperbElegance 1.8 TSI,2013,"67,000kms",Petrol,Manual,₹2.99 Lakh,kolkata
