car_brand,car_name,year,km_driven,fuel,transmission,price,city
Jeep,Jeep Compass1.4 Longitude Plus AT,2018,"55,000kms",Petrol,Automatic,₹7.49 Lakh,mumbai
Kia,Kia SeltosGTX Plus S Turbo DCT,2023,"49,718kms",Petrol,Automatic,₹16.25 Lakh,mumbai
Hyundai,Hyundai CretaSX Opt Knight IVT,2023,"30,374kms",Petrol,Automatic,₹15.25 Lakh,mumbai
Mercedes-Benz,Mercedes-Benz E-ClassE250 CDI Avantgarde,2016,"53,000kms",Diesel,Automatic,₹15.90 Lakh,mumbai
MG,MG GlosterSavvy 4x2 7Str,2024,"10,000kms",Diesel,Automatic,₹38 Lakh,mumbai
Honda,Honda CityZX MT,2022,"47,244kms",Petrol,Manual,₹11.53 Lakh,mumbai
Honda,Honda CityZX MT,2022,"59,741kms",Petrol,Manual,₹10.92 Lakh,mumbai
Kia,Kia SeltosHTX IVT,2022,"56,000kms",Petrol,Automatic,₹12.50 Lakh,mumbai
MG,MG Hector PlusSharp Diesel MT,2020,"73,000kms",Diesel,Manual,₹11.50 Lakh,mumbai
MG,MG HectorSharp AT BSIV,2021,"65,000kms",Petrol,Automatic,₹12.99 Lakh,mumbai
Kia,Kia SeltosHTX IVT G,2021,"76,925kms",Petrol,Automatic,₹11 Lakh,mumbai
MG,MG HectorSharp CVT,2021,"40,000kms",Petrol,Automatic,₹12.45 Lakh,mumbai
Kia,Kia SeltosGTX Plus,2022,"50,000kms",Petrol,Manual,₹14.50 Lakh,mumbai
MG,MG HectorSharp Diesel MT,2022,"45,000kms",Diesel,Manual,₹13.50 Lakh,mumbai
Honda,Honda Cityi VTEC V,2015,"85,000kms",Petrol,Manual,₹12.45 Lakh,mumbai
Honda,Honda CityZX CVT,2022,"29,000kms",Petrol,Automatic,₹10.25 Lakh,mumbai
Tata,Tata HarrierXZA Plus AT BSVI,2022,"40,000kms",Diesel,Automatic,₹12 Lakh,mumbai
Kia,Kia SeltosHTX G,2020,"61,000kms",Petrol,Manual,₹11 Lakh,mumbai
,Maserati QuattroporteDiesel BSIV,2016,"57,000kms",Diesel,Automatic,₹47 Lakh,mumbai
Hyundai,Hyundai TucsonGLS Diesel AT,2020,"57,000kms",Diesel,Automatic,₹18.99 Lakh,mumbai
Mahindra,Mahindra XUV700AX7 AT Luxury Pack BSVI,2023,"10,000kms",Petrol,Automatic,₹19 Lakh,mumbai
Kia,Kia CarnivalLimousine,2020,"60,713kms",Diesel,Automatic,₹25 Lakh,mumbai
Kia,Kia CarnivalLimousine,2020,"60,200kms",Diesel,Automatic,₹24 Lakh,mumbai
Kia,Kia CarnivalLimousine,2020,"32,000kms",Diesel,Automatic,₹26.75 Lakh,mumbai
Hyundai,Hyundai CretaSX IVT BSVI,2021,"54,700kms",Petrol,Automatic,₹12.50 Lakh,mumbai
Hyundai,Hyundai TucsonPlatinum Diesel AT BSVI,2022,"30,600kms",Diesel,Automatic,₹24.49 Lakh,mumbai
Maruti,Maruti Ciaz1.4 Zeta,2022,"19,126kms",Petrol,Manual,₹7.22 Lakh,mumbai
Honda,Honda Cityi VTEC CVT VX,2018,"68,914kms",Petrol,Automatic,₹7 Lakh,mumbai
Kia,Kia CarensLuxury Plus Diesel AT,2023,"80,000kms",Diesel,Automatic,₹15.99 Lakh,mumbai
Hyundai,Hyundai VenueS,2020,"65,000kms",Petrol,Manual,₹6.11 Lakh,mumbai
Maruti,Maruti CiazSigma BSIV,2019,"97,000kms",Petrol,Manual,₹6.79 Lakh,mumbai
MG,MG HectorSharp Diesel MT,2019,"90,000kms",Diesel,Manual,₹9.75 Lakh,mumbai
Mahindra,Mahindra XUV700AX7 BSVI,2021,"75,200kms",Petrol,Manual,₹15.98 Lakh,mumbai
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2018,"1,13,000kms",Petrol,Manual,₹9.25 Lakh,mumbai
MG,MG HectorSharp DCT,2019,"1,15,000kms",Petrol,Automatic,₹9.25 Lakh,mumbai
Hyundai,Hyundai i20Sportz IVT BSVI,2021,"54,000kms",Petrol,Automatic,₹6.82 Lakh,mumbai
MG,2025MG Hector PlusSelect Pro 7 Str  -2025,2023,"6,300kms",Petrol,Manual,₹18 Lakh,mumbai
Honda,Honda Cityi-VTEC CVT ZX,2018,"68,549kms",Petrol,Automatic,₹8.05 Lakh,mumbai
Hyundai,Hyundai VenueSX Plus Turbo DCT,2021,"46,000kms",Petrol,Automatic,₹7.99 Lakh,mumbai
Maruti,Maruti CiazZeta Automatic BSIV,2018,"19,200kms",Petrol,Automatic,₹6.45 Lakh,mumbai
Hyundai,Hyundai CretaSX Opt IVT BSVI,2022,"40,000kms",Petrol,Automatic,₹13 Lakh,mumbai
Honda,Honda Cityi VTEC VX,2017,"21,000kms",Petrol,Manual,₹6.45 Lakh,mumbai
Honda,Honda CityV CVT,2019,"39,000kms",Petrol,Automatic,₹6.90 Lakh,mumbai
Kia,Kia SonetGTX Plus Diesel BSVI,2020,"34,359kms",Diesel,Manual,₹9.95 Lakh,mumbai
Maruti,Maruti XL6Zeta AT,2021,"45,000kms",Petrol,Automatic,₹8.50 Lakh,mumbai
Honda,Honda Cityi VTEC VX,2017,"55,000kms",Petrol,Manual,₹6.95 Lakh,mumbai
Honda,Honda Cityi-VTEC CVT ZX,2018,"32,594kms",Petrol,Automatic,₹7.50 Lakh,mumbai
Maruti,Maruti Swift DzireVDI,2017,"55,000kms",Diesel,Manual,₹6.49 Lakh,mumbai
Toyota,Toyota Urban cruiserPremium AT,2020,"69,000kms",Petrol,Automatic,₹6.99 Lakh,mumbai
Hyundai,Hyundai VenueS BSIV,2019,"53,000kms",Petrol,Manual,₹6.25 Lakh,mumbai
Toyota,Toyota Corolla Altis1.8 VL CVT,2019,"47,500kms",Petrol,Automatic,₹11.50 Lakh,mumbai
Hyundai,Hyundai Creta1.6 VTVT AT SX Plus,2020,"42,000kms",Petrol,Automatic,₹9.95 Lakh,mumbai
MG,2025MG Hector PlusSelect Pro 7 Str  -2025,2023,"6,300kms",Petrol,Manual,₹18 Lakh,mumbai
Hyundai,Hyundai VenueSX Opt Diesel,2020,"35,000kms",Diesel,Manual,₹8.75 Lakh,mumbai
Tata,Tata NexonXZ Plus BSVI,2021,"58,000kms",Petrol,Manual,₹13.51 Lakh,mumbai
Hyundai,Hyundai CretaSX Opt Turbo Dualtone BSVI,2020,"65,875kms",Petrol,Automatic,₹11.56 Lakh,mumbai
Hyundai,Hyundai VenueSX Turbo iMT,2020,"55,000kms",Petrol,Manual,₹7.20 Lakh,mumbai
