car_brand,car_name,year,km_driven,fuel,transmission,price,city
BMW,BMW X5xDrive 30d xLine,2022,"44,266kms",Diesel,Automatic,₹64 Lakh,new-delhi
Toyota,Toyota VellfireHi,2025,"5,900kms",Petrol,Automatic,₹1.19 Crore,new-delhi
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 200 BSIV,2019,"70,000kms",Petrol,Automatic,₹31.49 Lakh,new-delhi
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 200 BSIV,2019,"28,000kms",Petrol,Automatic,₹37.50 Lakh,new-delhi
Mercedes-Benz,Mercedes-Benz E-ClassExpression E 200 BSIV,2019,"14,100kms",Petrol,Automatic,₹34.75 Lakh,new-delhi
Porsche,Porsche 911Turbo S  -2025,2023,"4,500kms",Petrol,Automatic,₹2.31 Crore,new-delhi
Honda,Honda CityS,2013,"67,245kms",Petrol,Manual,₹2.19 Lakh,new-delhi
Maruti,Maruti SwiftLXI Optional-O,2017,"64,000kms",Petrol,Manual,₹2.99 Lakh,new-delhi
Maruti,Maruti Swift DzireVXI,2015,"81,000kms",Petrol,Manual,₹2.89 Lakh,new-delhi
Kia,Kia SonetGTX Plus Turbo DCT BSVI,2020,"27,747kms",Petrol,Automatic,₹10.50 Lakh,new-delhi
Maruti,Maruti Swift DzireVXI,2014,"68,000kms",Petrol,Manual,₹2.75 Lakh,new-delhi
Maruti,Maruti Wagon RLXI BS IV,2016,"62,000kms",Petrol,Manual,₹2.35 Lakh,new-delhi
Hyundai,Hyundai CretaSX,2024,"43,000kms",Petrol,Manual,₹13.75 Lakh,new-delhi
Jaguar,Jaguar XJ2.0L Portfolio,2017,"13,000kms",Petrol,Automatic,₹40 Lakh,new-delhi
Hyundai,Hyundai CretaSX Opt Knight IVT,2023,"17,000kms",Petrol,Automatic,₹15 Lakh,new-delhi
Mahindra,Mahindra XUV700AX5 7 Str Diesel AT BSVI,2022,"50,000kms",Diesel,Automatic,₹16.75 Lakh,new-delhi
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack AWD BSVI,2022,"50,000kms",Diesel,Automatic,₹16.75 Lakh,new-delhi
BMW,BMW 5 Series530Li,2024,"27,000kms",Petrol,Automatic,₹64 Lakh,new-delhi
Hyundai,Hyundai i20 N-LineN6 iMT BSVI,2021,"66,000kms",Petrol,Manual,₹6.25 Lakh,new-delhi
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 220d,2018,"52,000kms",Diesel,Automatic,₹28 Lakh,new-delhi
Jaguar,Jaguar XE2.0L Diesel Prestige,2018,"25,000kms",Diesel,Automatic,₹27 Lakh,new-delhi
Jaguar,Jaguar XJ3.0L Portfolio,2014,"72,000kms",Diesel,Automatic,₹24.49 Lakh,new-delhi
