car_brand,car_name,year,km_driven,fuel,transmission,price,city
Mercedes-Benz,Mercedes-Benz EQE SUV500 4MATIC,2023,"19,000kms",Electric,Automatic,₹85 Lakh,noida
Toyota,Toyota Innova HycrossZX Hybrid,2024,"40,000kms",Petrol,Automatic,₹30.70 Lakh,noida
Maruti,Maruti BalenoAlpha Diesel,2016,"94,777kms",Diesel,Manual,₹4.19 Lakh,noida
Maruti,Maruti BalenoDelta Diesel,2017,"38,504kms",Diesel,Manual,₹4.41 Lakh,noida
Maruti,Maruti BalenoZeta Diesel,2016,"71,115kms",Diesel,Manual,₹4.09 Lakh,noida
Mercedes-Benz,Mercedes-Benz GLS450 4MATIC BSVI,2022,"30,000kms",Petrol,Automatic,₹1 Crore,noida
Maruti,Maruti BalenoDelta Diesel,2017,"64,411kms",Diesel,Manual,₹4.03 Lakh,noida
Hyundai,Hyundai SantroSportz BSIV,2019,"30,000kms",Petrol,Manual,₹3.99 Lakh,noida
Maruti,Maruti Baleno1.3 Zeta,2019,"75,000kms",Diesel,Manual,₹4.75 Lakh,noida
BMW,BMW X5xDrive 30d M Sport,2018,"1,00,000kms",Diesel,Automatic,₹23 Lakh,noida
Maruti,Maruti Baleno1.2 Sigma,2019,"54,000kms",Petrol,Manual,₹3.99 Lakh,noida
Tata,Tata TiagoXT,2024,"15,000kms",Petrol,Manual,₹6 Lakh,noida
Maruti,Maruti Baleno1.2 Delta,2018,"59,000kms",Petrol,Manual,₹4.25 Lakh,noida
BMW,BMW X5xDrive 30d Design Pure Experience 5 Seater,2016,"1,20,000kms",Diesel,Automatic,₹20 Lakh,noida
Maruti,Maruti Swift DzireZXI Plus,2019,"56,600kms",Petrol,Manual,₹6 Lakh,noida
Maruti,Maruti BalenoZeta AMT,2016,"86,916kms",Petrol,Automatic,₹4.50 Lakh,noida
Ford,Ford FreestyleTitanium,2019,"1,13,033kms",Petrol,Manual,₹3.42 Lakh,noida
Hyundai,Hyundai Creta1.6 VTVT SX Plus,2017,"68,000kms",Petrol,Manual,₹5.70 Lakh,noida
Maruti,Maruti Baleno1.2 Delta,2018,"84,000kms",Petrol,Manual,₹4.50 Lakh,noida
Mahindra,Mahindra XUV700AX5 7 Str,2022,"23,578kms",Petrol,Manual,₹15.30 Lakh,noida
Honda,Honda Jazz1.2 S i VTEC,2015,"64,000kms",Petrol,Manual,₹3.60 Lakh,noida
Hyundai,Hyundai ExterSX,2023,"70,585kms",Petrol,Manual,₹6.67 Lakh,noida
Ford,Ford EcosportTitanium Plus AT,2018,"49,426kms",Petrol,Automatic,₹6.79 Lakh,noida
Hyundai,Hyundai Creta1.6 SX Automatic,2018,"74,475kms",Petrol,Automatic,₹7.15 Lakh,noida
Honda,Honda Jazz1.2 SV i VTEC,2015,"52,000kms",Petrol,Manual,₹4.25 Lakh,noida
MG,MG Hector1.5 Turbo Savvy Pro CVT BSVI,2023,"51,000kms",Petrol,Automatic,₹13.25 Lakh,noida
Tata,Tata HarrierXZ BSIV,2019,"60,000kms",Diesel,Manual,₹8.90 Lakh,noida
Kia,Kia SeltosGTX,2019,"65,000kms",Petrol,Manual,₹9.50 Lakh,noida
Maruti,Maruti CelerioLXI Optional MT BSIV,2019,"57,000kms",Petrol,Manual,₹3.60 Lakh,noida
Toyota,Toyota HyryderE,2023,"21,000kms",Petrol,Manual,₹10.50 Lakh,noida
MG,MG HectorSharp DCT,2019,"26,000kms",Petrol,Automatic,₹10.75 Lakh,noida
Kia,Kia CarensLuxury Plus Turbo DCT 6 STR  -2023,2022,"39,000kms",Petrol,Automatic,₹14.50 Lakh,noida
