car_brand,car_name,year,km_driven,fuel,transmission,price,city
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2023,"13,200kms",Petrol,Automatic,₹13.95 Lakh,pune
Jeep,Jeep Compass2.0 Limited 4X4 Opt Diesel AT BSVI,2021,"72,000kms",Diesel,Automatic,₹22 Lakh,pune
Volkswagen,Volkswagen VentoPetrol Highline,2011,"88,000kms",Petrol,Manual,₹2.49 Lakh,pune
Honda,Honda AmazeS i-VTEC,2014,"1,41,486kms",Petrol,Manual,₹2.95 Lakh,pune
MG,MG ZS EVExclusive,2022,"19,800kms",Electric,Automatic,₹18 Lakh,pune
Maruti,Maruti Alto K10VXI AMT,2015,"69,553kms",Petrol,Automatic,₹2.39 Lakh,pune
Hyundai,Hyundai Grand i101.2 Kappa Sportz BSIV,2013,"87,346kms",Petrol,Manual,₹2.86 Lakh,pune
Audi,Audi A430 TFSI Premium Plus,2017,"55,418kms",Petrol,Automatic,₹17.07 Lakh,pune
Maruti,Maruti ErtigaZXI Plus AT BSVI,2023,"20,000kms",Petrol,Automatic,₹10.50 Lakh,pune
Maruti,Maruti SwiftZXI,2021,"27,489kms",Petrol,Manual,₹5.93 Lakh,pune
Honda,Honda AmazeV,2021,"62,099kms",Petrol,Manual,₹5.62 Lakh,pune
Maruti,Maruti BalenoSigma,2020,"46,396kms",Petrol,Manual,₹5.16 Lakh,pune
Tata,Tata Harrier EVFearless Plus 75 ACFC,2025,"10,000kms",Electric,Automatic,₹22.50 Lakh,pune
Tata,Tata AltrozXZA DCT BSVI,2023,"16,800kms",Petrol,Automatic,₹6.75 Lakh,pune
Hyundai,Hyundai i20Magna Optional 1.2,2013,"81,185kms",Petrol,Manual,₹2.89 Lakh,pune
Mahindra,Mahindra TharLX 4WD Hard Top BSVI,2023,"20,256kms",Petrol,Manual,₹12.95 Lakh,pune
Skoda,Skoda OctaviaStyle Plus 1.8 TSI AT,2016,"58,000kms",Petrol,Automatic,₹7.50 Lakh,pune
Hyundai,Hyundai CretaSX (O) Turbo DCT,2024,"23,688kms",Petrol,Automatic,₹20 Lakh,pune
BMW,2019BMW 6 SeriesGT 630i Luxury Line  -2021,2018,"37,800kms",Petrol,Automatic,₹38.50 Lakh,pune
Volkswagen,Volkswagen Vento1.6 Highline Plus,2018,"59,624kms",Petrol,Manual,₹5.99 Lakh,pune
Toyota,Toyota Etios LivaG,2014,"60,000kms",Petrol,Manual,₹4 Lakh,pune
Honda,Honda AmazeV Petrol BSIV,2019,"56,524kms",Petrol,Manual,₹5.54 Lakh,pune
Maruti,Maruti BalenoDelta Diesel,2020,"13,521kms",Diesel,Manual,₹5.69 Lakh,pune
Maruti,Maruti SwiftVXI,2018,"45,000kms",Petrol,Manual,₹5.75 Lakh,pune
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack BSVI,2022,"1,04,000kms",Diesel,Automatic,₹20 Lakh,pune
Maruti,Maruti Wagon RZXI Plus AT Dual tone BSVI,2022,"11,100kms",Petrol,Automatic,₹5.25 Lakh,pune
Maruti,Maruti Ignis1.2 AMT Alpha BSIV,2018,"62,596kms",Petrol,Automatic,₹5.25 Lakh,pune
Ford,Ford Ecosport1.5 Ti VCT MT Titanium,2017,"45,673kms",Petrol,Manual,₹5.49 Lakh,pune
Kia,Kia SonetGTX Plus Turbo DCT DT,2021,"75,000kms",Petrol,Automatic,₹9 Lakh,pune
Honda,Honda BrioV MT,2016,"43,000kms",Petrol,Manual,₹5.50 Lakh,pune
Hyundai,Hyundai Creta1.6 VTVT E Plus,2017,"82,000kms",Petrol,Manual,₹5.75 Lakh,pune
Maruti,Maruti Baleno1.2 Delta,2018,"1,11,770kms",Petrol,Manual,₹5.95 Lakh,pune
Mahindra,Mahindra XUV500W8 4WD,2015,"1,20,000kms",Diesel,Manual,₹7 Lakh,pune
Ford,Ford FigoAmbiente BSIV,2012,"50,726kms",Petrol,Manual,₹2.07 Lakh,pune
Honda,Honda WR-Vi-VTEC VX,2019,"50,425kms",Petrol,Manual,₹5.73 Lakh,pune
Honda,Honda CitySV MT,2016,"8,231kms",Petrol,Manual,₹5.55 Lakh,pune
Hyundai,Hyundai VernaSX Turbo DCT,2023,"30,000kms",Petrol,Automatic,₹15 Lakh,pune
Volkswagen,Volkswagen Ameo1.5 TDI Highline,2017,"80,000kms",Diesel,Manual,₹5.70 Lakh,pune
Audi,Audi Q330 TFSI Premium FWD,2018,"71,800kms",Petrol,Automatic,₹15.50 Lakh,pune
Kia,Kia SeltosHTX,2023,"22,882kms",Petrol,Manual,₹13.69 Lakh,pune
Tata,Tata NexonXZ Plus Dark Edition BSVI,2023,"13,000kms",Petrol,Manual,₹8.75 Lakh,pune
Maruti,Maruti Grand VitaraZeta,2023,"43,228kms",Petrol,Manual,₹11.47 Lakh,pune
Honda,Honda CityZX MT,2021,"48,692kms",Petrol,Manual,₹11.19 Lakh,pune
Toyota,Toyota Corolla AltisDiesel LE,2018,"85,419kms",Diesel,Manual,₹11.80 Lakh,pune
Mahindra,Mahindra XUV500R W10 FWD,2017,"72,000kms",Diesel,Manual,₹8 Lakh,pune
Volkswagen,Volkswagen Taigun1.0 Topline,2024,"9,345kms",Petrol,Manual,₹14.29 Lakh,pune
Maruti,Maruti Grand VitaraDelta,2024,"12,557kms",Petrol,Manual,₹10.52 Lakh,pune
Kia,Kia SeltosGTX Plus,2020,"98,027kms",Petrol,Manual,₹11.45 Lakh,pune
Maruti,Maruti Ignis1.2 AMT Zeta BSIV,2018,"30,000kms",Petrol,Automatic,₹4.50 Lakh,pune
Skoda,Skoda Slavia1.5 TSI Style DSG,2022,"36,747kms",Petrol,Automatic,₹13.35 Lakh,pune
Hyundai,Hyundai Creta1.6 SX,2019,"52,942kms",Petrol,Manual,₹11.64 Lakh,pune
Honda,Honda CityVX MT,2023,"9,838kms",Petrol,Manual,₹11.61 Lakh,pune
Hyundai,Hyundai Grand i10Magna,2016,"40,000kms",Petrol,Manual,₹3.50 Lakh,pune
Skoda,Skoda Kushaq1.0 TSI Style,2022,"42,182kms",Petrol,Manual,₹12.32 Lakh,pune
Audi,Audi A63.0 TDI Quattro Premium Plus,2015,"77,800kms",Diesel,Automatic,₹13.50 Lakh,pune
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2023,"21,900kms",Petrol,Automatic,₹13.99 Lakh,pune
Mahindra,Mahindra TUV 300T10,2018,"80,000kms",Diesel,Manual,₹6.50 Lakh,pune
Jeep,Jeep Compass1.4 Limited Plus BSIV,2019,"62,579kms",Petrol,Automatic,₹11.75 Lakh,pune
Skoda,Skoda Slavia1.0 TSI Ambition AT,2023,"46,863kms",Petrol,Automatic,₹13.99 Lakh,pune
Kia,Kia SeltosHTX Plus Diesel,2021,"70,000kms",Diesel,Manual,₹13.90 Lakh,pune
Mahindra,Mahindra TUV 300T10,2018,"80,000kms",Diesel,Manual,₹6.50 Lakh,pune
Mercedes-Benz,Mercedes-Benz M-ClassML 250 CDI,2014,"1,25,700kms",Diesel,Automatic,₹15 Lakh,pune
Honda,Honda CityCVT,2021,"38,382kms",Petrol,Automatic,₹12.50 Lakh,pune
Jeep,Jeep Compass1.4 Limited Plus BSIV,2019,"62,579kms",Petrol,Automatic,₹11.75 Lakh,pune
Mercedes-Benz,Mercedes-Benz E-ClassExclusive E 220 d BSIV,2018,"60,000kms",Diesel,Automatic,₹25 Lakh,pune
Skoda,Skoda Slavia1.0 TSI Ambition AT,2023,"46,863kms",Petrol,Automatic,₹13.99 Lakh,pune
Skoda,Skoda Slavia1.5 TSI Style DSG,2023,"43,000kms",Petrol,Automatic,₹14.65 Lakh,pune
Skoda,Skoda Slavia1.0 TSI Style AT BSVI,2023,"21,900kms",Petrol,Automatic,₹13.99 Lakh,pune
Maruti,Maruti Wagon RLXI BS IV,2011,"60,000kms",Petrol,Manual,₹1.70 Lakh,pune
Audi,Audi A62.0 TDI,2014,"78,000kms",Diesel,Automatic,₹11.25 Lakh,pune
Hyundai,Hyundai Creta1.6 CRDi AT SX Plus,2018,"1,08,000kms",Diesel,Automatic,₹10.25 Lakh,pune
Kia,Kia SeltosX-Line DCT,2022,"45,000kms",Petrol,Automatic,₹13.95 Lakh,pune
Skoda,Skoda Kushaq1.0 TSI Style AT BSVI,2023,"32,207kms",Petrol,Automatic,₹14.40 Lakh,pune
Hyundai,Hyundai i10Sportz,2013,"27,481kms",Petrol,Manual,₹2.32 Lakh,pune
Honda,Honda CityV CVT,2011,"1,15,016kms",Petrol,Automatic,₹2.73 Lakh,pune
Hyundai,Hyundai i10Magna 1.2,2011,"83,177kms",Petrol,Manual,₹2.06 Lakh,pune
Tata,Tata PunchPure,2023,"20,000kms",Petrol,Manual,₹5.50 Lakh,pune
Honda,Honda Cityi VTEC VX,2017,"55,777kms",Petrol,Manual,₹5.20 Lakh,pune
Renault,Renault KigerRXZ,2022,"40,096kms",Petrol,Manual,₹5.50 Lakh,pune
Volkswagen,Volkswagen Jetta1.4 TSI Comfortline,2015,"89,674kms",Petrol,Manual,₹5.75 Lakh,pune
MG,2024MG Hector PlusSharp Pro 7 Str Diesel  -2025,2023,"20,000kms",Diesel,Manual,₹21 Lakh,pune
Renault,Renault KigerRXZ,2022,"40,096kms",Petrol,Manual,₹5.50 Lakh,pune
Volkswagen,Volkswagen Tiguan2.0 TSI Elegance,2024,"19,000kms",Petrol,Automatic,₹28.95 Lakh,pune
Mahindra,Mahindra Alturas G44X4 AT BSIV,2019,"56,000kms",Diesel,Automatic,₹21.50 Lakh,pune
Hyundai,Hyundai CretaSX Opt IVT BSVI,2023,"41,000kms",Petrol,Automatic,₹13.95 Lakh,pune
Mercedes-Benz,Mercedes-Benz GLCProgressive 300,2017,"44,900kms",Petrol,Automatic,₹24.75 Lakh,pune
Honda,Honda CityVX MT,2015,"57,177kms",Petrol,Manual,₹5.80 Lakh,pune
Maruti,Maruti BalenoZeta,2021,"28,741kms",Petrol,Manual,₹5.87 Lakh,pune
Hyundai,Hyundai i201.2 Magna,2011,"1,60,000kms",Petrol,Manual,₹1.60 Lakh,pune
Honda,Honda Cityi-VTEC V,2018,"43,000kms",Petrol,Manual,₹5.75 Lakh,pune
Skoda,Skoda Kushaq1.0 TSI Ambition BSVI,2022,"49,545kms",Petrol,Manual,₹8.80 Lakh,pune
Mercedes-Benz,Mercedes-Benz GLA4MATIC,2019,"26,300kms",Petrol,Automatic,₹19.90 Lakh,pune
Hyundai,Hyundai AuraSX Plus AMT,2020,"24,000kms",Petrol,Automatic,₹5.25 Lakh,pune
Mercedes-Benz,Mercedes-Benz M-ClassML 250 CDI,2014,"1,28,800kms",Diesel,Automatic,₹19.50 Lakh,pune
Isuzu,Isuzu MU-X2WD,2019,"1,30,000kms",Diesel,Automatic,₹18.55 Lakh,pune
Mercedes-Benz,Mercedes-Benz GLA Class200 Sport,2019,"77,300kms",Petrol,Automatic,₹18.50 Lakh,pune
Volkswagen,Volkswagen VirtusTopline AT ES,2024,"26,818kms",Petrol,Automatic,₹14.20 Lakh,pune
Mercedes-Benz,Mercedes-Benz M-ClassML 250 CDI,2015,"1,14,000kms",Diesel,Automatic,₹16.50 Lakh,pune
Kia,Kia SeltosGTX Plus Diesel AT,2024,"27,182kms",Diesel,Automatic,₹19.75 Lakh,pune
Maruti,Maruti Alto 800VXI,2015,"28,516kms",Petrol,Manual,₹2.74 Lakh,pune
Skoda,Skoda Kushaq1.0 TSI Style BSVI,2021,"60,000kms",Petrol,Manual,₹11.50 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"55,781kms",Petrol,Manual,₹2.48 Lakh,pune
Maruti,Maruti SX4Green Vxi (CNG),2012,"98,000kms",CNG,Manual,₹2.30 Lakh,pune
Hyundai,Hyundai VenueSX Opt Turbo iMT BSVI,2019,"26,272kms",Petrol,Manual,₹8.04 Lakh,pune
Maruti,Maruti Vitara BrezzaVDi AMT,2019,"1,50,000kms",Diesel,Automatic,₹7.40 Lakh,pune
Hyundai,Hyundai VenueSX,2023,"43,022kms",Petrol,Manual,₹8.75 Lakh,pune
Hyundai,Hyundai i20Magna Optional 1.2,2013,"86,274kms",Petrol,Manual,₹2.26 Lakh,pune
Hyundai,Hyundai i10Magna 1.1,2012,"55,912kms",Petrol,Manual,₹2.22 Lakh,pune
Maruti,Maruti Vitara BrezzaZDi AMT,2019,"70,000kms",Diesel,Automatic,₹8.80 Lakh,pune
Hyundai,Hyundai EONMagna,2015,"69,000kms",Petrol,Manual,₹2.14 Lakh,pune
Volkswagen,Volkswagen Polo1.2 MPI Highline,2014,"1,24,334kms",Petrol,Manual,₹2.20 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"48,230kms",Petrol,Manual,₹2.62 Lakh,pune
Mercedes-Benz,Mercedes-Benz C-ClassC 200 AVANTGARDE,2018,"45,000kms",Petrol,Automatic,₹21.75 Lakh,pune
Maruti,Maruti Alto 800VXI,2017,"34,957kms",Petrol,Manual,₹2.72 Lakh,pune
Renault,Renault KWID1.0 RXT AMT Opt,2019,"29,340kms",Petrol,Automatic,₹2.62 Lakh,pune
Ford,Ford FigoAmbiente BSIV,2014,"35,833kms",Petrol,Manual,₹2.30 Lakh,pune
Mahindra,Mahindra Scorpio NZ8,2024,"10,000kms",Petrol,Manual,₹19 Lakh,pune
Honda,Honda Cityi VTEC V,2014,"1,17,962kms",Petrol,Manual,₹2.91 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"75,474kms",Petrol,Manual,₹2.43 Lakh,pune
Maruti,Maruti Alto 800LXi,2017,"38,356kms",Petrol,Manual,₹2.78 Lakh,pune
Hyundai,Hyundai i20Sportz Option 1.4 CRDi,2014,"1,04,000kms",Diesel,Manual,₹3.25 Lakh,pune
Maruti,Maruti Alto 800LXi,2015,"47,615kms",Petrol,Manual,₹2.45 Lakh,pune
Honda,Honda BrioS MT,2012,"74,425kms",Petrol,Manual,₹2.27 Lakh,pune
Maruti,Maruti Alto 800LXi,2015,"82,574kms",Petrol,Manual,₹2.36 Lakh,pune
Tata,Tata Nexon EVEmpowered Plus LR,2023,"20,500kms",Electric,Automatic,₹12.50 Lakh,pune
Hyundai,Hyundai i20Magna Optional 1.2,2013,"86,274kms",Petrol,Manual,₹2.26 Lakh,pune
Hyundai,Hyundai i10Magna 1.1,2012,"55,912kms",Petrol,Manual,₹2.22 Lakh,pune
Hyundai,Hyundai EONMagna,2015,"69,000kms",Petrol,Manual,₹2.14 Lakh,pune
Mini Cooper,2019Mini Cooper Countryman  -2021Cooper S,2018,"33,500kms",Petrol,Automatic,₹23 Lakh,pune
Volkswagen,Volkswagen Polo1.2 MPI Highline,2014,"1,24,334kms",Petrol,Manual,₹2.20 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"48,230kms",Petrol,Manual,₹2.62 Lakh,pune
Renault,Renault KWIDRXT,2015,"72,270kms",Petrol,Manual,₹2.25 Lakh,pune
Mahindra,Mahindra XUV700AX7 Diesel AT Luxury Pack BSVI,2022,"1,20,000kms",Diesel,Automatic,₹18.75 Lakh,pune
Maruti,Maruti Alto 800LXi,2016,"75,474kms",Petrol,Manual,₹2.43 Lakh,pune
